Player,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m
Mitchell Robinson,64.36,2.06,38.83,46.39,12.71,0.333,0.584,0.844,83.3,0,16.7
Antonio Blakeney,48.19,82.58,14.65,2.27,0.51,0.382,0.552,1,62.2,25.84,11.96
PJ Tucker,91.3,82.98,14.91,0.57,1.53,0.376,0.462,1,20.3,72.88,6.82
Doug McDermott,95.17,68.56,26.71,4.26,0.47,0.414,0.611,0.889,43.62,44.68,11.7
Dirk Nowitzki,90.15,98.65,0.81,0.54,0,0.351,0.667,1,37.91,51.92,10.16
Vince Carter,79.17,82.1,12.88,3.28,1.75,0.386,0.492,0.867,26.42,64.95,8.62
Justin Jackson,85.19,80.83,17.08,1.04,1.04,0.379,0.732,1,44.41,44.92,10.67
Willy Hernangomez,69.28,37.16,40.54,9.12,13.18,0.436,0.533,0.889,65.56,10.69,23.75
Lance Stephenson,50.28,72,25.18,1.41,1.41,0.369,0.551,0.833,45.04,44.63,10.33
Luol Deng,71.19,61.86,28.81,4.24,5.08,0.37,0.706,0.8,57.32,26.75,15.92
Joakim Noah,73.64,25.35,44.6,20.19,9.86,0.259,0.495,0.907,73.83,0,26.17
Harry Giles III,65.14,53.16,26.44,10.34,10.06,0.395,0.533,0.861,85.78,0,14.22
Derrick Jones Jr.,71.25,39.2,31.17,19.75,9.88,0.299,0.485,0.828,62.56,19.91,17.54
Mike Muscala,91.03,84.21,10.8,1.39,3.6,0.365,0.59,1,24.94,59.47,15.59
OG Anunoby,67.21,62.38,23.02,10.64,3.96,0.325,0.602,0.86,49.47,42.86,7.68
Luke Kornet,85.05,86.22,6.36,3.53,3.89,0.348,0.5,0.9,22.98,65.22,11.8
Michael Beasley,49.33,58.82,33.33,4.58,3.27,0.389,0.608,1,79.56,4.97,15.47
Terrance Ferguson,94.59,77.49,15.08,6.26,1.16,0.353,0.631,0.852,30.8,61.99,7.21
Pat Connaughton,82.82,65.71,18.57,12.57,3.14,0.348,0.615,0.841,46.08,47.03,6.89
Quinn Cook,56.86,80.41,18.91,0.23,0.46,0.442,0.566,0,48.33,47.74,3.93
Stanley Johnson,54.17,66.9,30.11,1.15,1.84,0.33,0.489,1,48.43,40.36,11.21
Dante Exum,44.55,42.74,50.21,6.64,0.41,0.311,0.463,0.813,57.64,18.75,23.61
Wayne Selden,59.69,73.08,21.12,3.93,1.86,0.363,0.461,0.842,54.86,32.1,13.04
Brandon Knight,36.36,83.46,16.15,0,0.38,0.359,0.476,0,43.61,46.24,10.15
Tyus Jones,31.11,74.6,24.71,0,0.69,0.368,0.537,0,62.86,24.4,12.75
Evan Turner,34.31,68.17,28.89,1.81,1.13,0.371,0.625,1,78.14,6.68,15.18
Ersan Ilyasova,80.24,59.84,29.92,1.31,8.92,0.355,0.596,0.8,48.12,38.41,13.47
JR Smith,66.67,96.2,3.8,0,0,0.329,0.667,0,40.54,48.65,10.81
Ryan Arcidiacono,52.41,80.62,19.38,0,0,0.415,0.58,0,38.97,44.67,16.36
James Ennis III,82.61,58.5,28.57,6.8,6.12,0.366,0.571,1,42.67,42.42,14.91
Devin Robinson,73.68,46.88,28.13,21.88,3.13,0.467,0.556,1,80.85,0,19.15
Maxi Kleber,84.02,72.61,12.5,10.11,4.79,0.374,0.426,0.974,41.03,46.79,12.18
Michael Kidd-Gilchrist,70.25,47.59,45.48,3.92,3.01,0.392,0.517,0.923,66.51,11.24,22.25
Zhaire Smith,57.14,64.71,20.59,11.76,2.94,0.364,0.286,0.75,40,45,15
Zach Collins,70.9,57.5,31.25,7.5,3.75,0.352,0.608,0.833,58.2,23.44,18.36
Johnathan Williams,71.88,30.56,31.48,27.78,10.19,0.303,0.618,0.933,84.21,0,15.79
Ian Clark,68.92,84.22,15.78,0,0,0.371,0.525,0,43.19,49.36,7.46
MarShon Brooks,32.89,71.6,23.67,1.78,2.96,0.339,0.725,0.667,64.21,23.68,12.11
Cory Joseph,42.92,81.2,18.61,0,0.18,0.375,0.578,0,63.69,30.73,5.59
David Nwaba,58.73,54.2,38.17,4.96,2.67,0.394,0.53,0.923,61.08,21.56,17.37
Jonathon Simmons,46.62,68.86,25.14,4.29,1.71,0.332,0.432,0.867,57.38,22.95,19.67
Billy Garrett,45.45,77.78,22.22,0,0,0.333,0.667,0,84.62,0,15.38
Shaquille Harrison,45.11,37.32,57.28,3.76,1.64,0.277,0.508,0.875,67.51,15.19,17.3
Sterling Brown,77.93,56.73,37.18,4.81,1.28,0.367,0.569,0.867,49.46,42.74,7.8
Gorgui Dieng,77.01,70.05,17.11,8.02,4.81,0.431,0.563,0.933,69.85,11.85,18.3
CJ Miles,84.82,85.53,12.86,1.29,0.32,0.353,0.375,0.75,26.55,59.29,14.16
Jodie Meeks,95.24,79.49,20.51,0,0,0.452,0.875,0,50.98,47.06,1.96
T.J. McConnell,44.09,75,24.76,0,0.24,0.483,0.654,0,85.3,8.7,6
Devin Harris,70.99,74.85,25.15,0,0,0.32,0.57,0,32.94,43.06,24
Jonas Jerebko,86.5,71.55,19.15,3.1,6.2,0.406,0.574,1,40.96,45.1,13.94
Omri Casspi,80.23,49.07,39.13,9.94,1.86,0.329,0.667,1,62.83,19.91,17.26
Kevon Looney,70.51,22.48,32.85,29.39,15.27,0.372,0.544,0.961,86.4,0.6,13
Cameron Payne,38.54,69.51,29.15,0,1.35,0.374,0.554,0,56.8,30,13.2
Troy Daniels,76.11,91.27,7.64,0,1.09,0.398,0.476,0,24.53,69.81,5.66
Mo Bamba,70.94,61.32,20.16,10.7,7.82,0.336,0.571,0.962,65.75,21.58,12.67
Tyler Dorsey,69.16,71.59,26.89,0.38,1.14,0.354,0.521,1,42.57,44.59,12.84
Sam Dekker,75.83,40.23,39.45,13.28,7.03,0.282,0.525,0.941,70.38,19.86,9.76
Cheick Diallo,82.53,46.99,38.72,9.77,4.51,0.512,0.66,1,86.39,0.79,12.83
Jerryd Bayless,48.72,80.45,19.55,0,0,0.328,0.465,0,49,43.5,7.5
Isaiah Canaan,53.13,72.56,27.44,0,0,0.378,0.422,0,33.15,56.35,10.5
Kenrich Williams,80.77,69.37,25.83,3.32,1.48,0.314,0.529,0.889,39.85,55.35,4.8
Tony Snell,83.44,71.47,23.27,3.88,1.39,0.38,0.595,0.929,36.94,54.73,8.33
Henry Ellenson,79.49,71.58,27.37,1.05,0,0.382,0.462,1,38.6,44.74,16.67
Wilson Chandler,80.18,80.75,15.09,1.13,3.02,0.383,0.625,0.667,34.78,59.2,6.02
Jordan McRae,41.38,72.5,24.17,2.5,0.83,0.414,0.621,1,62.34,19.48,18.18
Omari Spellman,82.65,60.66,18.44,10.66,10.25,0.345,0.378,0.885,39.71,48.53,11.76
Yogi Ferrell,39.33,77.39,22.61,0,0,0.408,0.526,0,46.97,38.5,14.53
Aaron Holiday,55.24,79.77,19.08,1.15,0,0.359,0.56,0.667,42.18,43.88,13.95
Matthew Dellavedova,50,87.19,12.81,0,0,0.384,0.548,0,38.3,46.81,14.89
Nik Stauskas,68.38,77.22,18.34,2.96,1.48,0.387,0.419,0.7,33.08,52.63,14.29
Meyers Leonard,86.36,66.12,9.09,21.49,3.31,0.456,0.455,0.885,45.94,42.02,12.04
D.J. Wilson,85.58,72.91,14.34,7.97,4.78,0.355,0.5,0.75,41.43,49.29,9.29
Ed Davis,60.22,14.24,52.32,13.91,19.54,0.372,0.639,0.905,78.81,0,21.19
Juancho Hernangomez,84.78,66.13,26.84,4.79,2.24,0.372,0.56,0.8,35.29,48.53,16.18
Mike Scott,83.93,85.24,12.38,1.19,1.19,0.388,0.385,1,29.19,66.01,4.79
Torrey Craig,78.75,62.5,25,8.61,3.89,0.329,0.578,0.871,46.05,42.56,11.4
Furkan Korkmaz,80.61,78.37,15.92,3.67,2.04,0.339,0.538,0.778,36.56,50.54,12.9
Ivan Rabb,67.24,52.36,28.77,9.43,9.43,0.441,0.557,1,79.58,3.17,17.25
Elie Okobo,57.02,72.76,24.48,2.41,0.34,0.322,0.549,1,49.34,38.49,12.17
Frank Ntilikina,44.21,81.91,16.67,1.06,0.35,0.32,0.404,0.667,50.41,40.24,9.35
Andre Iguodala,82.12,63.58,12.91,21.85,1.66,0.313,0.564,1,52.96,37.02,10.03
Daniel Theis,82.19,46.99,22.56,19.92,10.53,0.352,0.667,0.925,64.17,20.86,14.97
Tony Bradley,62.5,18.75,50,6.25,25,0.333,0.625,1,94.12,0,5.88
John Henson,77.42,65.67,10.45,17.91,5.97,0.386,0.429,0.917,50.63,41.77,7.59
Aron Baynes,73.33,52.91,17.49,10.31,19.28,0.415,0.436,0.87,59.15,22.18,18.66
Grayson Allen,65.67,79.21,16.29,4.49,0,0.355,0.379,0.75,33.18,45.5,21.33
Jakob Poeltl,70.59,17.93,53.45,9.66,18.97,0.538,0.69,0.893,88.42,0,11.58
Chasson Randle,60.67,67.14,31.92,0.47,0.47,0.357,0.559,0,34.35,50.38,15.27
Damian Jones,88.68,10.81,36.49,48.65,4.05,0.5,0.481,0.944,81.54,0,18.46
Greg Monroe,53.26,41.8,49.74,1.59,6.88,0.38,0.564,0.667,79.13,1.3,19.57
Alex Abrines,91.07,89.17,10.19,0.64,0,0.336,0.5,1,18.18,74.55,7.27
Raul Neto,41.89,61.49,38.51,0,0,0.384,0.581,0,55.1,30.61,14.29
Troy Williams,68.18,57.14,27.55,12.24,3.06,0.339,0.444,1,54.05,37.84,8.11
Treveon Graham,85.94,86.39,12.57,0,1.05,0.309,0.542,0,28.26,61.96,9.78
Tim Frazier,52.59,68.2,29.89,0.38,1.53,0.388,0.564,1,50.97,35.81,13.23
Royce O'Neale,84.66,60.64,29.74,9.04,0.58,0.375,0.608,0.71,44.6,47.89,7.51
Chandler Hutchison,67.71,48.8,40.67,9.09,1.44,0.333,0.529,0.842,71.62,18.34,10.04
Frank Mason,29.58,66.27,31.36,0.59,1.78,0.321,0.623,0,58.46,21.54,20
Alex Poythress,77.5,33.33,38.27,17.28,11.11,0.333,0.548,0.714,57.94,25.23,16.82
Thon Maker,91.67,69.43,17.74,9.43,3.4,0.326,0.489,0.88,36.76,45.79,17.45
Anthony Tolliver,92.93,90.2,6.27,1.96,1.57,0.374,0.375,0.8,11.04,74.54,14.42
Brandon Sampson,82.14,66.67,26.67,5,1.67,0.425,0.5,1,47.89,46.48,5.63
Jalen Jones,53.85,70.97,19.35,4.84,4.84,0.318,0.583,1,39.51,37.04,23.46
De'Anthony Melton,53,67.97,25.78,3.13,3.13,0.305,0.53,1,56.8,34.8,8.4
Cameron Reynolds,90.32,87.67,6.85,5.48,0,0.438,0,0.75,22.22,70,7.78
Luc Mbah a Moute,75,44.44,55.56,0,0,0.5,0.4,0,60,30,10
Dragan Bender,76.14,61.93,25.38,7.11,5.58,0.254,0.68,1,57.39,28.7,13.91
Wes Iwundu,63.72,59.49,30.29,6.2,4.01,0.356,0.361,0.882,49.56,25.66,24.78
Keita Bates-Diop,82.46,62.96,29.63,3.7,3.7,0.259,0.7,1,61.11,27.08,11.81
Marcin Gortat,81.82,46.77,38.71,6.99,7.53,0.402,0.681,0.692,84.98,0,15.02
Damion Lee,83.93,84.25,15.75,0,0,0.43,0.5,0,36.71,51.27,12.03
Nerlens Noel,72.84,37.32,19.2,26.45,17.03,0.379,0.566,0.918,85.71,0,14.29
Corey Brewer,78.43,53.33,36.67,5.83,4.17,0.266,0.591,1,50.34,28.57,21.09
Bonzie Colson,92.31,64.1,23.08,5.13,7.69,0.28,0.444,0.5,41.03,38.46,20.51
Jared Dudley,94.06,75.73,22.18,0,2.09,0.37,0.604,0,33.45,55.4,11.15
Johnathan Motley,61.54,38.36,38.36,20.55,2.74,0.286,0.571,0.933,76.47,0,23.53
Donte DiVincenzo,78,70.97,24.19,4.03,0.81,0.273,0.667,1,42.75,50.38,6.87
Khem Birch,72.53,31.13,30.46,23.18,15.23,0.447,0.587,0.914,75.83,0,24.17
Michael Carter-Williams,36.96,56.91,38.21,2.44,2.44,0.314,0.404,1,53.73,22.39,23.88
Troy Brown Jr.,68.09,66.07,27.68,6.25,0,0.338,0.516,0.857,59.5,27.27,13.22
Devonte' Graham,51.35,76.85,23.15,0,0,0.295,0.5,0,36.87,47,16.13
Jonah Bolden,85,64.81,21.6,8.02,5.56,0.352,0.657,0.923,44.44,49.28,6.28
Alfonzo McKinnie,80.6,56.88,25.36,13.77,3.99,0.363,0.571,0.868,54.6,37.39,8.01
Moritz Wagner,79.1,56.02,38.55,2.41,3.01,0.312,0.5,0.75,45.92,33.67,20.41
John Jenkins,88.1,95.24,4.76,0,0,0.39,0.6,0,33.06,54.55,12.4
Timothe Luwawu-Cabarrot,81.71,66.06,29.82,3.67,0.46,0.299,0.523,0.625,39.83,46.75,13.42
Theo Pinson,52,73.97,23.29,1.37,1.37,0.241,0.588,1,32.1,44.44,23.46
Jemerrio Jones,66.67,45.45,39.39,3.03,12.12,0.133,0.538,1,74.07,22.22,3.7
Lance Thomas,80.77,76.14,17.26,4.57,2.03,0.333,0.559,0.667,54.63,32.2,13.17
Miles Plumlee,62.5,25,25,37.5,12.5,0.5,0.75,0.722,80,0,20
Jevon Carter,50,85.95,13.51,0.54,0,0.302,0.28,1,25.58,59.3,15.12
Bismack Biyombo,76.4,29.49,40.38,23.08,7.05,0.391,0.556,0.889,75.42,0,24.58
Bruce Brown,68,41.4,48.41,7.32,2.87,0.292,0.441,0.696,63.32,22.57,14.11
Shake Milton,82.35,73.56,22.99,1.15,2.3,0.344,0.5,1,45.98,48.28,5.75
Solomon Hill,83.82,71.35,22.47,4.49,1.69,0.307,0.5,0.875,37.7,50.26,12.04
Raymond Felton,38.18,87.41,12.59,0,0,0.39,0.529,0,49.3,42.25,8.45
Deyonta Davis,80,27.27,13.64,40.91,18.18,0.167,0.667,1,88.24,0,11.76
Marquese Chriss,73.13,50,22.22,18.89,8.89,0.267,0.225,0.676,56.04,26.37,17.58
Jaron Blossomgame,68.09,55.66,22.64,9.43,12.26,0.288,0.625,0.9,64.91,26.32,8.77
Glenn Robinson III,86.49,67.05,26.7,5.11,1.14,0.339,0.511,0.889,56.57,27.27,16.16
Mitchell Creek,62.5,25,68.75,0,6.25,0.25,0.636,0,76.19,0,23.81
Marcus Derrickson,75,93.94,3.03,0,3.03,0.452,1,0,26.09,65.22,8.7
Jerian Grant,50,85.45,14.09,0.45,0,0.383,0.613,1,41.6,48,10.4
Ian Mahinmi,63.83,46.15,27.88,7.69,18.27,0.313,0.586,1,63.31,6.47,30.22
Shaun Livingston,54.13,65.71,18.57,11.43,4.29,0.457,0.487,0.875,84.5,0,15.5
Tahjere McCall,100,33.33,66.67,0,0,0,1,0,100,0,0
Isaiah Hicks,50,50,25,12.5,12.5,0.5,1,0,66.67,0,33.33
Cristiano Felicio,69.47,27.37,50.28,13.41,8.94,0.367,0.544,0.875,79.17,0,20.83
Courtney Lee,69.81,80.62,17.83,1.55,0,0.385,0.522,0.5,54.41,35.29,10.29
Dusty Hannahs,100,58.33,41.67,0,0,0,0.6,0,75,0,25
Georges Niang,73.26,78.45,20.99,0.55,0,0.451,0.553,1,36.6,54.89,8.51
Zaza Pachulia,63.1,37.7,48.17,2.09,12.04,0.306,0.565,1,63.4,0,36.6
Abdel Nader,65.93,61.86,34.42,2.79,0.93,0.346,0.541,0.833,48.96,39.83,11.2
Ben McLemore,92,84.38,10.94,3.13,1.56,0.389,0.286,1,21.33,68,10.67
Amir Johnson,73.42,51.59,31.21,8.28,8.92,0.37,0.694,0.846,66.67,17.91,15.42
Pau Gasol,71.43,61.7,25.53,6.38,6.38,0.379,0.417,1,61.02,15.25,23.73
Salah Mejri,78.18,43.75,28.57,19.64,8.04,0.306,0.531,0.955,62.41,23.4,14.18
Jon Leuer,75.76,51.33,37.17,7.96,3.54,0.362,0.786,1,83.33,1.92,14.74
Brad Wanamaker,52,77.14,22.86,0,0,0.432,0.625,0,48.57,34.29,17.14
TJ Leaf,62.63,50.27,32.79,7.1,9.84,0.37,0.65,1,80.89,10.67,8.44
Ray Spalding,64,31.91,31.91,17.02,19.15,0.467,0.467,0.75,92.59,0,7.41
Ryan Broekhoff,90.74,82.64,14.05,1.65,1.65,0.4,0.706,1,24.36,67.31,8.33
Thabo Sefolosha,88.73,68.46,26.85,4.03,0.67,0.431,0.55,0.667,38.95,53.68,7.37
Anfernee Simons,35.71,77.78,19.05,0,3.17,0.388,0.583,0,48,40,12
Hamidou Diallo,61.33,33.33,43.03,13.33,10.3,0.309,0.437,0.955,74.74,6.32,18.95
Justin Anderson,66.67,62.18,23.72,7.05,7.05,0.299,0.405,1,45.71,39.43,14.86
Kosta Koufos,73.61,67.11,21.71,3.95,7.24,0.412,0.606,0.667,94.74,0,5.26
Rawle Alkins,76.92,43.59,48.72,2.56,5.13,0.294,0.316,1,54.05,24.32,21.62
Gary Payton II,80,25,50,12.5,12.5,0.5,0.75,1,72.73,27.27,0
Demetrius Jackson,62.5,60,33.33,6.67,0,0.444,0.6,1,54.55,27.27,18.18
Jimmer Fredette,37.5,79.31,20.69,0,0,0.174,0.667,0,72.73,0,27.27
Patrick Patterson,87.8,83.56,11.87,2.74,1.83,0.344,0.462,1,31.44,60.26,8.3
Daryl Macon,40,85.19,14.81,0,0,0.348,0.5,0,34.48,51.72,13.79
Alan Williams,75,69.23,23.08,0,7.69,0.556,0.667,0,88.89,0,11.11
Nene,78.33,51.72,37.07,11.21,0,0.4,0.558,0.923,79.47,0,20.53
Channing Frye,90.7,94.87,3.42,1.71,0,0.351,0.5,1,17.05,74.42,8.53
Andrew Bogut,61.11,33.33,27.78,16.67,22.22,0.417,0.5,0.833,92.31,0,7.69
Tyrone Wallace,56.04,58.88,37.85,1.87,1.4,0.413,0.42,1,81.31,5.61,13.08
Jerome Robinson,70.45,79.82,19.27,0.92,0,0.379,0.476,1,46.43,48.21,5.36
Malcolm Miller,100,88.46,11.54,0,0,0.478,0,0,5.71,85.71,8.57
Isaiah Briscoe,34.55,62.32,36.23,1.45,0,0.267,0.6,1,64.71,24.26,11.03
Kyle O'Quinn,81.16,71.32,22.79,2.94,2.94,0.454,0.613,0.75,87.18,1.92,10.9
Wesley Johnson,80,89.06,8.59,2.34,0,0.307,0.636,1,31.25,58.59,10.16
Emanuel Terry,75,0,85.71,14.29,0,0,0.5,1,80,0,20
Duncan Robinson,94.44,84.78,10.87,4.35,0,0.308,0.8,1,32,60,8
Semi Ojeleye,79.1,71.52,20.89,5.06,2.53,0.31,0.606,1,41.94,45.16,12.9
Chris Boucher,76.47,57.89,25,11.84,5.26,0.273,0.526,1,47.31,38.71,13.98
BJ Johnson,66.67,72.22,22.22,5.56,0,0.538,0.25,1,52.17,39.13,8.7
Jordan Bell,73.74,50,25.52,17.19,7.29,0.365,0.551,0.818,88.79,0,11.21
Jaylen Adams,63.16,84.4,15.6,0,0,0.337,0.412,0,24.07,69.44,6.48
Jason Smith,95.24,67.8,13.56,5.08,13.56,0.3,0.625,1,36.92,41.54,21.54
Milos Teodosic,82.35,87.5,10,0,2.5,0.4,0.5,0,29.17,62.5,8.33
Andrew Harrison,31.25,69.81,28.3,1.89,0,0.216,0.533,0,40.74,27.78,31.48
PJ Dozier,25,66.67,14.29,4.76,14.29,0.143,0.667,1,63.16,31.58,5.26
Svi Mykhailiuk,86.96,83.45,13.67,2.16,0.72,0.31,0.421,0.667,25.56,65.41,9.02
Tyson Chandler,67.21,8.08,31.31,34.34,26.26,0.375,0.452,0.912,70.52,0,29.48
Skal Labissiere,46.15,59.18,14.29,18.37,8.16,0.448,0.286,0.889,59.7,26.87,13.43
Dante Cunningham,73.33,65.82,21.52,5.7,6.96,0.404,0.559,0.889,46.39,46.39,7.22
Isaac Humphries,66.67,71.43,19.05,9.52,0,0.267,0.5,0,40,60,0
Jordan Sibert,100,100,0,0,0,1,0,0,0,100,0
J.P. Macura,100,44.44,55.56,0,0,0,0.6,0,100,0,0
Daniel Hamilton,52.17,65,28.33,0,6.67,0.359,0.412,0,52.63,42.11,5.26
Gary Clark,86,93.38,3.97,1.99,0.66,0.305,0.667,0.667,12.16,83.11,4.73
Edmond Sumner,68.18,59.38,34.38,0,6.25,0.289,0.455,0,45.45,31.82,22.73
Dairis Bertans,91.67,100,0,0,0,0.255,0,0,11.76,88.24,0
C.J. Williams,52.94,67.65,29.41,2.94,0,0.478,0.5,1,61.54,38.46,0
Jarell Martin,83.72,78.85,14.42,6.73,0,0.354,0.467,1,40,52.17,7.83
Gary Trent Jr.,50,86,14,0,0,0.302,0.429,0,55,37.5,7.5
Lonnie Walker IV,43.75,69.57,30.43,0,0,0.281,0.5,0,48.89,33.33,17.78
Robert Williams III,86.11,7.84,21.57,54.9,15.69,0.25,0.727,0.893,88.89,0,11.11
Yuta Watanabe,80,78.43,15.69,3.92,1.96,0.2,0.625,1,66.67,15.38,17.95
Deonte Burton,78.79,56.1,37.8,6.1,0,0.304,0.484,0.8,60.98,29.27,9.76
Patrick McCaw,65.38,60.32,34.92,4.76,0,0.342,0.455,1,45.95,36.49,17.57
Ryan Anderson,71.43,79.71,13.04,2.9,4.35,0.255,0.556,0.5,38.1,42.86,19.05
Jaylen Morris,75,60,40,0,0,0.167,0.75,0,60,30,10
Troy Caupain,25,87.5,12.5,0,0,0.571,0,0,40,60,0
Udonis Haslem,54.55,78.79,15.15,3.03,3.03,0.231,0.6,1,88,0,12
Jordan Loyd,37.5,66.67,33.33,0,0,0.417,0.5,0,27.59,41.38,31.03
James Nunnally,91.67,85.29,14.71,0,0,0.276,0.8,0,22.22,66.67,11.11
Jared Terrell,33.33,79.49,17.95,2.56,0,0.323,0.143,1,51.61,38.71,9.68
Khyri Thomas,81.82,79.71,17.39,1.45,1.45,0.273,0.5,1,39.34,49.18,11.48
Jose Calderon,48.89,85.83,14.17,0,0,0.359,0.471,0,54.87,37.17,7.96
Ekpe Udoh,72,33.33,31.94,18.06,16.67,0.583,0.652,1,84.03,0,15.97
Scott Machado,0,25,75,0,0,1,0.667,0,57.14,42.86,0
Guerschon Yabusele,71.43,63.64,29.87,2.6,3.9,0.367,0.609,1,55.32,28.72,15.96
Nick Young,100,100,0,0,0,0.333,0,0,0,100,0
Amile Jefferson,70,25,56.25,0,18.75,0.5,0.667,0,74.07,0,25.93
Julian Washburn,68.75,87.5,8.33,2.08,2.08,0.286,0.75,1,55,37.5,7.5
Lorenzo Brown,34.78,63.38,30.99,4.23,1.41,0.289,0.364,0.667,61.82,32.73,5.45
Dzanan Musa,77.78,77.27,22.73,0,0,0.294,0.8,0,84.21,15.79,0
Caleb Swanigan,50,62.26,22.64,5.66,9.43,0.212,0.417,1,79.07,6.98,13.95
Zhou Qi,100,0,0,100,0,0,0,1,100,0,0
Kalin Lucas,0,100,0,0,0,0,0,0,0,0,100
Joe Chealey,100,100,0,0,0,0.333,0,0,100,0,0
DJ Stephens,100,0,0,100,0,0,0,0.5,100,0,0
Donatas Motiejunas,100,66.67,33.33,0,0,0.5,0.5,0,100,0,0
Isaiah Hartenstein,85,21.95,43.9,26.83,7.32,0.333,0.5,0.727,67.92,11.32,20.75
Wade Baldwin IV,10,57.58,42.42,0,0,0.316,0.286,0,53.33,20,26.67
Quincy Pondexter,72.41,51.72,39.66,6.9,1.72,0.4,0.609,0.75,46.94,18.37,34.69
Haywood Highsmith,100,90,10,0,0,0.333,1,0,66.67,33.33,0
Drew Eubanks,73.33,69.23,19.23,3.85,7.69,0.611,0.6,1,73.17,0,26.83
Chimezie Metu,63.16,70.69,15.52,10.34,3.45,0.293,0,1,74.51,0,25.49
Quincy Acy,100,88.89,11.11,0,0,0.125,1,0,23.53,35.29,41.18
Deng Adel,81.82,86.11,13.89,0,0,0.29,0.4,0,31.25,56.25,12.5
Trevon Duval,100,66.67,33.33,0,0,0.5,1,0,40,60,0
Justin Patton,100,42.86,14.29,14.29,28.57,0,1,1,80,0,20
Thomas Welsh,100,92.31,0,7.69,0,0.5,0,1,44.44,50,5.56
Melvin Frazier Jr.,71.43,57.14,33.33,9.52,0,0.083,0.571,1,93.33,0,6.67
Vincent Edwards,100,100,0,0,0,0.25,0,0,0,100,0
Angel Delgado,100,0,100,0,0,0,0.2,0,66.67,0,33.33
Jarred Vanderbilt,77.78,21.05,52.63,15.79,10.53,0,0.4,1,75,0,25
Brandon Goodwin,50,65.22,34.78,0,0,0.133,0.5,0,34.78,26.09,39.13
Eric Moreland,33.33,42.86,28.57,0,28.57,0.667,0,0,57.14,42.86,0
Malachi Richardson,77.78,93.1,6.9,0,0,0.296,0.5,0,6.67,80,13.33
Jacob Evans,61.11,77.36,20.75,1.89,0,0.341,0.273,1,70,30,0
Davon Reed,60,66.67,25,0,8.33,0.25,0.667,0,50,50,0
Naz Mitrou-Long,33.33,70,25,5,0,0.214,0.4,1,50,37.5,12.5
Terrence Jones,100,75,25,0,0,0,1,0,100,0,0
Yante Maten,100,50,50,0,0,0.5,0,0,100,0,0
DeVaughn Akoon-Purcell,66.67,50,40,10,0,0,0.5,1,85.71,0,14.29
Kostas Antetokounmpo,0,66.67,33.33,0,0,0,0,0,0,0,100
Sindarius Thornwell,82.35,55.1,38.78,0,6.12,0.259,0.474,0,45.16,14.52,40.32
Alize Johnson,25,68.75,25,0,6.25,0.182,0.25,0,46.15,23.08,30.77
Ron Baker,50,75,25,0,0,0.133,0.4,0,42.86,21.43,35.71
Tyler Lydon,66.67,55.56,22.22,11.11,11.11,0.4,0.25,1,43.48,52.17,4.35
Isaac Bonga,20,54.55,39.39,0,6.06,0.056,0.154,0,52.63,0,47.37
Chris Chiozza,100,75,25,0,0,0.333,0,0,0,100,0
Tyler Cavanaugh,100,60,40,0,0,0.167,0.5,0,44.44,33.33,22.22
Jawun Evans,66.67,78.57,21.43,0,0,0.091,0.667,0,100,0,0
George King,0,0,0,0,0,0,0,0,0,0,0
John Holland,0,0,0,0,0,0,0,0,0,0,0
Tyler Ulis,0,0,0,0,0,0,0,0,0,0,0
Tyler Davis,0,100,0,0,0,0,0,0,0,0,0
Andre Ingram,0,100,0,0,0,0,0,0,0,0,0
Okaro White,0,100,0,0,0,0,0,0,0,0,0
Kobi Simmons,0,0,0,0,0,0,0,0,0,0,0
Zach Lofton,0,100,0,0,0,0,0,0,0,0,0
Ike Anigbogu,0,66.67,0,0,33.33,0,0,0,0,0,0
Donte Grantham,0,100,0,0,0,0,0,0,0,0,0
