,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP,>8ft%,8-16ft%,16-24ft%,24+%,BCS%,>8FTU,8-16FTU,16-24FTU,24+U,BCU,AVGDISTA,AVGDISTM,AVGDISTF,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
381,Jusuf Nurkić,C,24.0,POR,72.0,72.0,1974.0,10.3,20.3,0.508,0.1,0.7,0.10300000000000001,10.2,19.6,0.523,6.9,9.0,0.773,6.0,12.4,18.4,5.7,1.7,2.5,4.1,6.1,27.6,116.0,105.0,23.4,0.57,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,0.0,4.4,3.3,7.8,0.18899999999999997,0.0,1.6,3.6,5.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Kelly Oubre,SF,23.0,TOT,69.0,19.0,1935.0,9.2,20.7,0.445,2.7,8.3,0.32,6.6,12.4,0.53,4.6,6.0,0.775,1.7,6.2,8.0,2.1,2.1,1.5,2.5,4.5,25.8,105.0,113.0,15.2,0.551,0.401,0.29,4.0,14.6,9.2,6.8,2.1,2.5,9.8,23.2,0.0,0.9,1.3,2.2,0.054000000000000006,0.0,-0.9,-1.2,-2.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Gary Payton,PG,26.0,WAS,3.0,0.0,16.0,14.8,23.7,0.625,3.0,5.9,0.5,11.8,17.8,0.667,0.0,0.0,0.0,3.0,3.0,5.9,11.8,8.9,3.0,3.0,5.9,32.6,135.0,97.0,36.9,0.688,0.25,0.0,6.7,6.9,6.8,45.1,8.9,5.3,11.1,23.8,0.0,0.1,0.0,0.1,0.358,0.0,9.8,5.2,14.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Jakob Pöltl,C,23.0,SAS,77.0,24.0,1273.0,7.2,11.1,0.645,0.0,0.0,0.0,7.2,11.1,0.645,1.9,3.5,0.5329999999999999,6.8,8.9,15.7,3.6,1.1,2.6,1.8,4.8,16.2,133.0,108.0,19.4,0.64,0.0,0.317,15.4,19.7,17.6,10.0,1.1,4.5,12.7,13.1,0.0,3.5,1.6,5.1,0.193,0.0,1.5,2.7,4.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Otto Porter,SF,25.0,TOT,56.0,43.0,1683.0,8.5,18.2,0.465,2.9,7.3,0.406,5.5,11.0,0.504,2.2,2.7,0.813,1.5,7.4,8.9,3.4,2.3,0.9,1.8,3.1,22.1,111.0,112.0,15.9,0.569,0.39799999999999996,0.149,3.4,17.0,10.1,10.6,2.3,1.6,8.7,19.1,0.0,1.8,1.5,3.2,0.09300000000000001,0.0,0.4,0.1,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,J.J. Redick,SG,34.0,PHI,76.0,63.0,2379.0,9.0,20.4,0.44,4.8,12.0,0.397,4.2,8.4,0.502,4.5,5.1,0.894,0.4,3.3,3.7,4.1,0.6,0.3,2.0,2.6,27.2,118.0,115.0,15.1,0.602,0.589,0.248,0.9,7.2,4.1,12.9,0.6,0.6,8.1,21.9,0.0,4.6,1.2,5.9,0.11800000000000001,0.0,2.7,-3.3,-0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Glenn Robinson,SF,25.0,DET,47.0,18.0,610.0,6.0,14.2,0.42,1.5,5.0,0.29,4.5,9.2,0.491,2.6,3.2,0.8,1.4,4.4,5.7,1.7,1.1,0.6,1.5,3.6,16.0,104.0,112.0,8.7,0.511,0.35200000000000004,0.22699999999999998,2.9,10.0,6.4,5.1,1.1,1.1,8.5,15.0,0.0,0.1,0.6,0.7,0.054000000000000006,0.0,-3.5,-0.8,-4.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Dario Šarić,PF,24.0,TOT,81.0,41.0,2023.0,7.2,16.4,0.43700000000000006,2.8,7.6,0.365,4.4,8.8,0.499,3.1,3.5,0.88,3.0,7.8,10.8,3.0,1.1,0.2,2.3,4.3,20.3,113.0,114.0,13.1,0.563,0.46399999999999997,0.21600000000000003,6.6,17.5,12.1,8.8,1.1,0.4,11.3,17.8,0.0,2.3,1.2,3.5,0.084,0.0,0.3,-1.4,-1.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Tomáš Satoranský,PG,27.0,WAS,80.0,54.0,2164.0,5.6,11.6,0.485,1.4,3.5,0.395,4.2,8.1,0.524,2.9,3.5,0.8190000000000001,1.8,4.3,6.1,8.7,1.8,0.3,2.6,3.8,15.5,121.0,116.0,14.1,0.59,0.306,0.302,4.0,10.0,7.0,24.6,1.8,0.5,16.7,14.1,0.0,3.8,0.9,4.7,0.10400000000000001,0.0,0.4,-1.0,-0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Dennis Schröder,PG,25.0,OKC,79.0,14.0,2314.0,9.2,22.3,0.414,2.5,7.3,0.341,6.7,14.9,0.45,3.8,4.6,0.8190000000000001,0.8,5.0,5.7,6.5,1.3,0.2,3.5,3.8,24.7,103.0,110.0,12.7,0.508,0.33,0.20600000000000002,1.6,11.3,6.3,20.4,1.3,0.4,12.5,24.2,0.0,0.4,2.4,2.9,0.06,0.0,-1.6,-1.5,-3.1,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Dennis Smith,PG,21.0,TOT,53.0,50.0,1508.0,8.9,20.9,0.428,2.1,6.7,0.322,6.8,14.2,0.47700000000000004,3.2,5.0,0.635,1.0,3.9,5.0,8.1,2.1,0.6,4.9,4.1,23.2,96.0,112.0,12.3,0.502,0.32,0.24,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,0.0,-1.2,1.2,0.0,0.001,0.0,-1.7,-0.9,-2.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,J.R. Smith,SG,33.0,CLE,11.0,4.0,222.0,6.0,17.7,0.342,2.7,8.7,0.308,3.4,8.9,0.375,1.8,2.2,0.8,0.0,4.0,4.0,4.7,2.5,0.7,2.5,4.3,16.6,91.0,116.0,7.8,0.444,0.494,0.127,0.0,9.4,4.5,13.8,2.5,1.2,11.7,18.6,0.0,-0.3,0.1,-0.2,-0.038,0.0,-3.5,-1.7,-5.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,D.J. Stephens,SG,28.0,MEM,1.0,0.0,7.0,7.1,14.2,0.5,0.0,0.0,0.0,7.1,14.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,7.1,0.0,14.2,60.0,102.0,5.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,33.3,19.1,0.0,0.0,0.0,0.0,-0.11900000000000001,0.0,-9.9,2.3,-7.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Miloš Teodosić,PG,31.0,LAC,15.0,0.0,150.0,5.3,12.6,0.425,3.1,8.5,0.37,2.2,4.1,0.5379999999999999,1.3,2.2,0.5710000000000001,0.9,4.1,5.0,10.1,0.9,0.3,6.6,8.5,15.1,94.0,115.0,6.5,0.557,0.675,0.175,2.2,8.9,5.7,28.8,0.9,0.5,32.8,18.0,0.0,-0.1,0.1,-0.1,-0.019,0.0,-2.9,-3.2,-6.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Gary Trent,SG,20.0,POR,15.0,1.0,111.0,7.0,21.8,0.32,2.2,9.2,0.23800000000000002,4.8,12.7,0.379,1.3,3.1,0.429,0.4,4.4,4.8,2.2,0.4,0.9,1.7,1.7,17.5,81.0,115.0,3.6,0.377,0.42,0.14,1.0,9.4,5.3,6.2,0.4,1.4,7.0,21.7,0.0,-0.3,0.1,-0.2,-0.092,0.0,-6.7,-3.6,-10.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,P.J. Tucker,PF,33.0,HOU,82.0,82.0,2802.0,3.6,9.2,0.396,2.6,6.8,0.377,1.1,2.4,0.449,0.7,1.0,0.695,2.1,6.3,8.4,1.7,2.3,0.7,1.1,4.4,10.5,114.0,110.0,9.2,0.547,0.74,0.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,0.0,2.0,3.0,5.0,0.086,0.0,-0.5,1.8,1.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Jonas Valančiūnas,C,26.0,TOT,49.0,27.0,1091.0,13.5,24.0,0.5589999999999999,0.6,2.1,0.292,12.8,21.9,0.586,6.6,8.3,0.795,4.7,14.0,18.7,3.1,0.8,2.4,4.0,6.5,34.1,114.0,104.0,24.4,0.616,0.08900000000000001,0.344,10.7,31.4,21.1,12.0,0.8,4.4,12.7,28.5,0.0,2.2,1.9,4.2,0.183,0.0,0.1,1.2,1.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Nikola Vučević,C,28.0,ORL,80.0,80.0,2510.0,13.7,26.4,0.518,1.6,4.5,0.364,12.0,21.9,0.5489999999999999,3.5,4.4,0.789,4.4,14.3,18.7,6.0,1.6,1.7,3.1,3.1,32.5,115.0,103.0,25.5,0.573,0.171,0.168,9.4,31.9,20.5,21.9,1.6,3.0,9.9,28.0,0.0,5.4,4.7,10.1,0.193,0.0,3.0,3.4,6.4,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Lonnie Walker,SG,20.0,SAS,17.0,0.0,118.0,6.6,19.0,0.348,2.1,5.4,0.385,4.6,13.7,0.33299999999999996,3.3,4.1,0.8,0.0,7.0,7.0,3.7,2.9,1.2,1.7,2.9,18.6,93.0,107.0,10.8,0.446,0.28300000000000003,0.217,0.0,15.6,7.9,10.3,2.9,2.2,7.4,20.3,0.0,-0.1,0.2,0.0,0.019,0.0,-4.7,0.3,-4.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Taurean Waller-Prince,SF,24.0,ATL,55.0,47.0,1552.0,7.8,17.7,0.441,3.7,9.4,0.39,4.1,8.3,0.498,2.8,3.5,0.8190000000000001,0.7,5.3,5.9,3.5,1.6,0.6,3.0,4.2,22.1,106.0,115.0,11.9,0.575,0.53,0.195,1.5,12.3,6.7,11.1,1.6,1.1,13.4,19.5,0.0,0.8,0.7,1.5,0.047,0.0,-0.4,-1.5,-1.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Robert Williams,C,21.0,BOS,32.0,2.0,283.0,6.1,8.7,0.706,0.0,0.0,0.0,6.1,8.7,0.706,1.5,2.6,0.6,4.6,9.2,13.8,1.2,1.5,6.8,1.7,6.1,13.8,132.0,100.0,18.8,0.703,0.0,0.294,10.2,20.4,15.3,3.3,1.5,12.5,14.8,10.3,0.0,0.5,0.6,1.2,0.201,0.0,-2.4,6.7,4.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Ante Žižić,C,22.0,CLE,59.0,25.0,1082.0,8.4,15.2,0.5529999999999999,0.0,0.0,0.0,8.4,15.2,0.5529999999999999,4.3,6.1,0.705,5.0,9.7,14.7,2.4,0.6,1.0,2.8,5.2,21.1,116.0,117.0,16.2,0.59,0.0,0.39899999999999997,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,0.0,1.7,0.3,2.0,0.087,0.0,-1.7,-1.4,-3.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,RJ Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,5.0,0.0,3.0,3.0,0.0,11.0,1.308,0.5,1.0,0.0,0.4,0.0,15.38,7.69,0.0,76.92,0.0,22.77,20.83,24.43,66.67,84.62,7.69,7.69,0.0,0.455,0.0,1.0,23.53,70.59,5.88,76.92,7.69,0.0,15.38,0.0,0.0,0.0,0.4,1.0,0.0,0.5,0.0,0.0,0.0
532,Dennis Schroder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,2.46,5.92,2.24,1.03,2.87,3.99,3.75,4.86,1.109,0.486,0.406,0.42100000000000004,0.344,0.0,35.42,21.2,10.33,32.61,0.45,13.59,11.97,14.73,33.7,72.01,27.9,0.09,0.0,0.39,0.474,1.0,54.41,30.39,15.2,27.81,21.01,18.48,27.45,2.36,2.45,0.45,0.33899999999999997,0.42700000000000005,0.382,0.515,0.308,0.444,0.0
533,Luka Doncic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,2.93,7.92,3.03,2.01,5.93,4.77,5.56,4.7,1.284,0.5539999999999999,0.389,0.38799999999999996,0.342,0.063,37.1,15.42,4.2,41.9,1.37,14.98,11.97,17.22,27.16,75.49,20.57,2.23,1.71,0.373,0.5579999999999999,0.9620000000000001,43.93,33.64,22.43,39.16,11.14,20.31,25.28,1.11,1.71,1.29,0.32799999999999996,0.369,0.42200000000000004,0.614,0.5379999999999999,0.5,0.067
534,Kelly Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,2.83,6.99,2.9,1.91,2.88,4.28,3.26,4.55,1.2429999999999999,0.5479999999999999,0.429,0.517,0.318,0.5,48.1,8.31,3.44,39.9,0.24,12.58,9.71,14.88,64.8,61.88,26.6,8.67,2.85,0.369,0.478,0.863,51.0,30.95,18.05,30.52,6.65,16.03,37.17,5.7,3.8,0.12,0.32299999999999995,0.46399999999999997,0.39299999999999996,0.601,0.354,0.25,0.0
535,Walter Lemon Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.33,10.0,2.0,1.17,1.67,5.17,3.17,4.33,0.9890000000000001,0.45799999999999996,0.556,0.28600000000000003,0.4,0.0,67.82,10.34,16.09,5.75,0.0,6.59,5.42,7.49,26.32,35.63,63.22,1.15,0.0,0.355,0.473,1.0,83.72,6.98,9.3,5.75,20.69,13.79,59.77,0.0,0.0,0.0,0.4,0.33299999999999996,0.33299999999999996,0.5,0.0,0.0,0.0
536,Bogdan Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,1.7,4.81,1.97,1.2,2.74,4.36,2.72,4.1,1.1440000000000001,0.5,0.445,0.392,0.36,0.0,30.01,15.01,11.96,42.67,0.35,15.66,13.91,16.92,53.09,76.91,21.81,0.47,0.82,0.395,0.5,0.75,46.11,40.27,13.63,37.63,16.65,19.23,21.1,2.7,2.34,0.35,0.358,0.415,0.409,0.55,0.348,0.4,0.0
537,Jonas Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,0.43,10.78,1.84,3.31,4.29,4.14,2.92,4.04,1.4180000000000001,0.621,0.474,0.43799999999999994,0.292,0.0,70.07,18.03,2.97,8.92,0.0,6.51,5.0,8.43,59.8,58.55,27.7,7.25,6.51,0.498,0.57,0.9490000000000001,75.23,5.5,19.27,8.36,9.67,35.69,45.72,0.37,0.19,0.0,0.267,0.442,0.526,0.6629999999999999,0.5,1.0,0.0
538,Marvin Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,1.82,9.08,2.39,3.46,3.95,3.36,3.66,3.93,1.3,0.5920000000000001,0.384,0.419,0.316,0.0,60.37,19.74,6.15,13.59,0.14,8.24,6.19,10.32,54.7,56.94,25.89,10.3,6.87,0.41200000000000003,0.486,0.958,70.63,9.9,19.47,10.59,16.88,28.76,40.63,1.72,1.29,0.14,0.35100000000000003,0.373,0.44799999999999995,0.6579999999999999,0.25,0.111,0.0
539,Nikola Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,0.63,11.75,2.01,3.85,6.37,4.73,5.04,3.75,1.338,0.608,0.504,0.34600000000000003,0.318,0.0,59.39,11.59,6.6,22.08,0.34,9.91,7.18,12.78,53.96,63.62,31.22,0.85,4.31,0.439,0.631,1.0,66.16,15.75,18.09,21.66,12.61,26.23,38.75,0.34,0.08,0.34,0.316,0.396,0.51,0.6679999999999999,0.25,1.0,0.0
540,Gary Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.33,2.67,0.67,0.0,0.0,0.0,0.0,3.67,1.375,0.667,0.0,0.0,0.5,0.0,75.0,0.0,0.0,25.0,0.0,6.13,4.8,8.33,80.0,25.0,50.0,12.5,12.5,0.5,0.75,1.0,72.73,27.27,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.667,0.5,0.0,0.0
541,JJ Redick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,2.0,2.05,2.09,1.43,5.21,4.88,4.04,3.63,1.3359999999999999,0.542,0.436,0.5,0.396,0.0,11.68,5.36,24.15,58.81,0.0,20.39,19.44,21.13,89.38,89.68,10.32,0.0,0.0,0.423,0.585,0.0,30.9,52.48,16.62,50.63,27.36,3.89,9.93,5.45,2.73,0.0,0.39,0.48,0.45,0.588,0.35700000000000004,0.5710000000000001,0.0
542,Bojan Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,3.33,7.16,3.78,1.63,5.32,4.15,4.89,3.57,1.385,0.594,0.419,0.47100000000000003,0.425,0.0,41.33,15.24,6.67,36.76,0.0,12.98,11.19,14.75,72.99,65.24,31.05,2.95,0.76,0.429,0.5920000000000001,1.0,49.24,33.84,16.92,25.52,15.14,14.48,33.62,4.67,6.57,0.0,0.38799999999999996,0.428,0.42100000000000004,0.64,0.449,0.551,0.0
543,Nikola Mirotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,2.04,4.22,2.09,1.89,3.8,3.83,4.02,3.39,1.286,0.638,0.371,0.396,0.36700000000000005,0.0,26.01,6.46,8.86,58.3,0.37,17.93,15.21,20.06,82.77,78.23,17.71,0.92,3.14,0.382,0.677,1.0,35.01,49.93,15.06,48.52,12.92,6.83,21.59,4.06,5.72,0.37,0.361,0.35700000000000004,0.595,0.6409999999999999,0.409,0.387,0.0
544,Nikola Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,0.59,12.28,2.54,3.28,6.53,4.86,5.95,3.38,1.23,0.621,0.45299999999999996,0.424,0.365,0.0,49.85,20.38,12.7,16.99,0.07,10.38,8.43,12.49,70.9,71.64,17.36,3.91,7.09,0.46,0.664,0.887,74.11,15.14,10.75,16.77,21.34,29.76,31.83,0.15,0.07,0.07,0.366,0.436,0.484,0.687,0.5,0.0,0.0
545,Jaren Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,1.34,8.24,2.0,1.6,4.29,3.24,2.97,3.22,1.355,0.58,0.47700000000000004,0.273,0.359,0.0,59.42,14.6,1.87,24.11,0.0,9.39,7.29,11.54,68.79,61.8,26.32,9.17,2.72,0.40700000000000003,0.581,0.9440000000000001,61.9,19.17,18.92,18.17,4.58,32.6,38.71,3.06,2.89,0.0,0.41100000000000003,0.29600000000000004,0.42200000000000004,0.693,0.16699999999999998,0.235,0.0
546,Taurean Prince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,2.26,3.93,1.83,1.13,3.44,3.91,3.02,3.2,1.2409999999999999,0.5720000000000001,0.41,0.39,0.395,0.0,25.85,14.12,6.97,52.55,0.51,16.5,14.68,17.94,63.85,76.74,21.05,1.7,0.51,0.396,0.573,0.9,37.53,50.14,12.33,32.82,12.93,14.12,19.9,10.71,9.01,0.51,0.373,0.408,0.373,0.6409999999999999,0.444,0.415,0.0
547,Danuel House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,1.56,2.21,1.56,1.38,2.21,1.97,2.18,3.03,1.452,0.609,0.25,1.0,0.41600000000000004,0.0,27.38,1.59,0.4,70.63,0.0,17.8,15.86,19.51,86.44,73.81,18.25,6.35,1.59,0.409,0.565,0.875,24.04,60.66,15.3,40.08,0.79,3.17,25.4,21.43,9.13,0.0,0.436,0.5,0.25,0.6409999999999999,0.35200000000000004,0.478,0.0
548,Tim Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,2.46,4.43,2.8,1.52,5.17,4.48,5.29,3.02,1.182,0.496,0.397,0.38799999999999996,0.341,0.0,24.77,13.7,13.49,47.83,0.2,16.92,15.15,18.07,55.13,79.96,18.03,1.61,0.4,0.36,0.49200000000000005,0.875,38.84,41.4,19.76,41.79,20.14,13.09,18.73,4.33,1.71,0.2,0.342,0.42,0.315,0.5539999999999999,0.349,0.294,0.0
549,Mitchell Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.2,3.2,1.2,0.4,0.4,0.0,0.8,3.0,1.3130000000000002,0.615,0.0,0.0,0.0,0.0,81.25,0.0,6.25,12.5,0.0,5.63,2.0,9.25,62.5,25.0,68.75,0.0,6.25,0.25,0.636,0.0,76.19,0.0,23.81,6.25,6.25,6.25,75.0,0.0,6.25,0.0,0.0,0.0,1.0,0.583,0.0,0.0,0.0
550,Goran Dragic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,1.83,5.78,2.31,0.75,3.36,4.31,3.19,2.86,1.141,0.521,0.34700000000000003,0.321,0.348,0.0,39.03,16.63,6.47,37.88,0.0,13.29,11.22,14.75,44.69,67.67,31.87,0.0,0.46,0.355,0.536,0.0,49.39,34.62,15.99,30.48,12.93,18.01,31.18,4.16,3.23,0.0,0.364,0.321,0.359,0.563,0.222,0.35700000000000004,0.0
551,Otto Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,1.89,4.25,1.77,1.32,3.7,3.59,3.79,2.7,1.213,0.637,0.47100000000000003,0.377,0.406,0.0,22.71,18.51,18.97,39.81,0.0,16.14,14.28,17.76,69.9,82.74,14.77,0.93,1.56,0.429,0.611,1.0,50.0,40.0,10.0,28.3,30.33,12.13,17.73,5.44,6.07,0.0,0.396,0.39,0.5770000000000001,0.649,0.457,0.41,0.0
