,Player,Team,Position(s),Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
0,James Harden,Rockets,"PG, SG",748,+11.5,+0.3,+11.8,+2.4,+9.2,+11.7,+10.3,+2.2,+12.5,5.8
1,Luka Doncic,Mavericks,"PG, SG, SF",676,+10.8,+1.3,+12.1,+5.8,-4.2,+1.6,+10.2,+0.3,+10.4,4.6
2,Giannis Antetokounmpo,Bucks,"SF, PF",669,+6.9,+2.6,+9.5,+2.7,+7.9,+10.7,+6.2,+3.8,+10.0,4.4
3,LeBron James,Lakers,"PG, SF, PF",734,+6.7,+0.3,+7.0,+8.1,+3.4,+11.5,+7.3,+0.9,+8.2,4.1
4,Montrezl Harrell,Clippers,C,654,+1.9,+5.9,+7.8,+5.9,+1.7,+7.6,+2.8,+5.3,+8.1,3.6
5,Jimmy Butler,Heat,"SG, SF",542,+4.6,+5.1,+9.7,+3.5,+4.0,+7.6,+4.7,+5.1,+9.8,3.4
6,Karl-Anthony Towns,Timberwolves,C,563,+4.6,+4.8,+9.4,+3.0,-3.0,+0.0,+4.6,+3.5,+8.1,3.2
7,Kawhi Leonard,Clippers,SF,499,+3.1,+5.6,+8.7,+2.7,+7.5,+10.3,+3.2,+6.3,+9.4,3.1
8,Will Barton,Nuggets,SG,529,+2.5,+3.5,+6.1,+4.8,+10.3,+15.2,+3.2,+5.1,+8.3,3.0
9,Anthony Davis,Lakers,PF,693,+2.4,+4.1,+6.4,-3.9,+3.9,+0.1,+1.1,+4.2,+5.3,2.9
10,Damian Lillard,Trail Blazers,PG,696,+7.4,-2.2,+5.2,+1.5,+2.1,+3.7,+6.6,-1.4,+5.3,2.9
11,Rudy Gobert,Jazz,C,654,-1.4,+6.8,+5.4,+0.1,+3.5,+3.6,-1.2,+6.5,+5.3,2.7
12,Devonte' Graham,Hornets,PG,737,+3.7,-1.6,+2.1,+9.2,+1.8,+11.0,+5.2,-1.0,+4.2,2.6
13,Donovan Mitchell,Jazz,SG,729,+3.2,+0.9,+4.1,+4.3,-1.4,+2.9,+3.6,+0.5,+4.1,2.5
14,Pascal Siakam,Raptors,PF,737,+1.1,-0.1,+1.0,+9.3,+4.3,+13.6,+2.8,+0.8,+3.5,2.4
15,Patty Mills,Spurs,PG,505,+2.0,+2.0,+4.0,+4.2,+7.0,+11.2,+2.6,+3.2,+5.8,2.2
16,Al Horford,76ers,"PF, C",596,+1.6,+1.8,+3.4,+4.5,+3.3,+7.8,+2.3,+2.1,+4.4,2.2
17,Kemba Walker,Celtics,PG,582,+4.2,+0.5,+4.8,+8.0,-5.7,+2.3,+5.3,-0.8,+4.5,2.1
18,Jarrett Allen,Nets,C,529,-0.5,+4.1,+3.6,+4.7,+4.5,+9.2,+0.5,+4.5,+5.0,2.1
19,Harrison Barnes,Kings,"SF, PF",667,+1.8,+0.1,+1.8,+4.0,+3.4,+7.4,+2.4,+0.8,+3.1,2.0
20,Jonathan Isaac,Magic,"SF, PF",558,-0.2,+4.1,+3.8,+2.6,+2.2,+4.8,+0.4,+3.9,+4.3,2.0
21,Jakob Poeltl,Spurs,C,417,+0.2,+4.9,+5.1,+8.1,+2.2,+10.3,+1.9,+4.8,+6.6,2.0
22,Paul Millsap,Nuggets,PF,473,+1.8,+2.3,+4.1,+2.9,+6.6,+9.5,+2.2,+3.2,+5.4,2.0
23,OG Anunoby,Raptors,SF,562,-0.4,+3.9,+3.6,+3.3,+2.0,+5.3,+0.3,+3.7,+4.0,2.0
24,Spencer Dinwiddie,Nets,"PG, SG",582,+5.5,-2.9,+2.7,+7.0,+0.1,+7.1,+6.2,-2.4,+3.8,1.9
25,Joel Embiid,76ers,C,511,+2.1,+3.0,+5.0,-5.1,+6.9,+1.8,+0.7,+3.9,+4.6,1.9
26,Jamal Murray,Nuggets,"PG, SG",599,+0.0,+2.5,+2.6,+5.6,+1.2,+6.9,+1.2,+2.3,+3.5,1.9
27,Evan Fournier,Magic,"SG, SF",618,+2.5,+0.1,+2.6,+8.2,-3.6,+4.6,+3.9,-0.7,+3.2,1.9
28,Jrue Holiday,Pelicans,"PG, SG",688,+1.5,+1.9,+3.5,+0.8,-3.2,-2.4,+1.5,+1.0,+2.5,1.9
29,Jayson Tatum,Celtics,SF,657,+0.9,-0.1,+0.8,+4.5,+5.7,+10.2,+1.7,+1.1,+2.8,1.8
30,P.J. Tucker,Rockets,"SF, PF",711,-0.0,+2.4,+2.4,+0.8,+1.2,+2.1,+0.0,+2.3,+2.4,1.8
31,Josh Richardson,76ers,"SG, SF",512,+1.4,+1.6,+3.0,+4.6,+3.1,+7.7,+2.2,+2.0,+4.2,1.8
32,Trae Young,Hawks,PG,689,+4.8,-1.5,+3.2,+9.2,-12.3,-3.1,+6.1,-3.8,+2.3,1.8
33,Bam Adebayo,Heat,C,646,-1.0,+3.9,+2.9,-1.3,+2.6,+1.3,-1.1,+3.7,+2.6,1.8
34,Tobias Harris,76ers,"SF, PF",719,+0.0,+1.2,+1.2,+2.0,+3.3,+5.4,+0.5,+1.6,+2.1,1.7
35,Marcus Smart,Celtics,SG,607,+1.7,+2.6,+4.3,-3.7,+0.1,-3.6,+0.6,+2.2,+2.9,1.7
36,Aron Baynes,Suns,C,312,+5.5,+1.8,+7.2,+6.7,+2.6,+9.4,+6.0,+2.1,+8.1,1.7
37,Clint Capela,Rockets,C,524,-0.7,+6.0,+5.3,-2.9,-0.3,-3.2,-1.3,+5.0,+3.7,1.7
38,Royce O'Neale,Jazz,"SG, SF",603,+0.2,+1.6,+1.7,+2.2,+4.6,+6.9,+0.6,+2.2,+2.9,1.7
39,Kenrich Williams,Pelicans,SF,470,+0.2,+3.0,+3.2,+4.5,+3.5,+8.1,+1.1,+3.4,+4.4,1.7
40,Delon Wright,Mavericks,PG,445,+2.4,+1.6,+4.0,+1.6,+5.0,+6.6,+2.3,+2.4,+4.7,1.7
41,Davis Bertans,Wizards,"SF, PF",537,+3.6,-1.0,+2.6,+4.6,+0.3,+4.9,+4.0,-0.7,+3.3,1.7
42,Tomas Satoransky,Bulls,"PG, SG",558,+0.9,+1.9,+2.8,+6.0,-2.9,+3.1,+2.1,+1.0,+3.1,1.7
43,Donte DiVincenzo,Bucks,"PG, SG",377,+0.6,+4.7,+5.2,+0.3,+6.8,+7.1,+0.5,+5.3,+5.8,1.6
44,Christian Wood,Pistons,PF,284,+2.3,+5.1,+7.3,+2.4,+7.8,+10.3,+2.4,+6.0,+8.4,1.6
45,Ben Simmons,76ers,PG,652,-1.1,+2.8,+1.7,+2.8,-0.0,+2.8,-0.3,+2.4,+2.0,1.6
46,Danilo Gallinari,Thunder,"SF, PF",568,+3.4,+0.1,+3.5,+6.0,-7.5,-1.6,+4.2,-1.5,+2.7,1.6
47,Danuel House Jr.,Rockets,"SF, PF",416,+1.3,+3.4,+4.7,+1.9,+0.8,+2.8,+1.4,+3.1,+4.5,1.6
48,Fred VanVleet,Raptors,"PG, SG",756,+2.2,+0.6,+2.8,-2.6,-2.0,-4.6,+1.3,+0.0,+1.3,1.6
49,Marcus Morris Sr.,Knicks,PF,628,+0.7,+0.1,+0.9,+4.2,+1.6,+5.8,+1.6,+0.5,+2.1,1.5
50,CJ McCollum,Trail Blazers,SG,765,+0.5,-1.5,-1.0,+10.1,-0.4,+9.8,+2.5,-1.3,+1.2,1.5
51,Malcolm Brogdon,Pacers,PG,541,+3.0,-1.0,+2.0,+2.3,+3.0,+5.3,+3.0,-0.3,+2.7,1.5
52,George Hill,Bucks,"PG, SG",413,+5.5,-0.4,+5.1,+3.1,-1.6,+1.5,+5.3,-0.7,+4.6,1.5
53,Tim Hardaway Jr.,Mavericks,"SG, SF",489,+1.7,+1.4,+3.1,+1.0,+2.5,+3.5,+1.6,+1.7,+3.3,1.5
54,Bradley Beal,Wizards,SG,699,+5.9,-3.9,+2.0,+5.3,-6.4,-1.2,+6.1,-4.6,+1.5,1.5
55,Domantas Sabonis,Pacers,"PF, C",614,+0.6,+0.7,+1.2,+3.2,+2.0,+5.1,+1.1,+0.9,+2.0,1.5
56,Kelly Oubre Jr.,Suns,SF,596,+1.4,+1.9,+3.4,-1.7,-1.9,-3.7,+0.8,+1.3,+2.1,1.5
57,Andre Drummond,Pistons,C,712,-2.2,+3.6,+1.3,-1.7,+2.4,+0.7,-2.3,+3.6,+1.3,1.5
58,Cedi Osman,Cavaliers,SF,597,-0.9,+1.0,+0.1,+3.5,+5.7,+9.2,+0.0,+2.1,+2.1,1.5
59,Ricky Rubio,Suns,PG,433,+1.5,+1.1,+2.6,+3.7,+4.2,+7.9,+2.0,+1.8,+3.8,1.5
60,Justin Holiday,Pacers,"SG, SF",505,+0.6,+2.9,+3.5,-3.2,+2.8,-0.4,-0.2,+3.0,+2.9,1.5
61,Danny Green,Lakers,"SG, SF",539,-0.1,+2.8,+2.7,+1.3,-0.1,+1.1,+0.2,+2.3,+2.5,1.5
62,Jaylen Brown,Celtics,SG,534,+1.6,+1.5,+3.2,-1.2,+0.3,-0.9,+1.1,+1.3,+2.4,1.4
63,Tristan Thompson,Cavaliers,"PF, C",597,-1.4,+2.8,+1.4,+0.2,+2.3,+2.5,-1.1,+3.0,+1.9,1.4
64,Aaron Holiday,Pacers,PG,389,+0.6,+4.9,+5.5,+0.6,-2.6,-2.0,+0.6,+3.6,+4.2,1.4
65,Chris Paul,Thunder,PG,580,+4.3,-1.6,+2.7,+2.0,-3.9,-1.9,+4.1,-2.3,+1.9,1.4
66,Bogdan Bogdanovic,Kings,SG,495,+3.3,-0.2,+3.2,-0.5,-0.1,-0.7,+2.8,-0.1,+2.6,1.3
67,Eric Bledsoe,Bucks,PG,569,+2.7,-0.6,+2.1,-0.5,+1.2,+0.7,+2.0,-0.3,+1.7,1.3
68,Brook Lopez,Bucks,C,513,-1.6,+4.0,+2.5,+2.3,-0.9,+1.3,-0.9,+3.1,+2.2,1.3
69,Terence Davis,Raptors,SG,316,+3.8,+0.2,+4.0,+4.3,+5.5,+9.8,+4.1,+1.3,+5.4,1.3
70,Kyle Lowry,Raptors,PG,330,+4.3,+2.9,+7.2,-4.4,-1.2,-5.7,+2.6,+2.2,+4.8,1.3
71,Bojan Bogdanovic,Jazz,PF,662,+1.3,-1.4,-0.1,+7.8,-2.2,+5.6,+2.7,-1.6,+1.1,1.3
72,Patrick Beverley,Clippers,PG,595,-2.0,+3.3,+1.3,-1.9,+4.3,+2.4,-2.1,+3.6,+1.5,1.3
73,Richaun Holmes,Kings,"PF, C",527,-0.3,+0.9,+0.6,+3.3,+4.0,+7.3,+0.4,+1.6,+2.0,1.3
74,T.J. Warren,Pacers,SF,660,-0.6,+1.7,+1.1,-2.0,+2.9,+0.9,-1.0,+2.0,+1.1,1.3
75,Jabari Parker,Hawks,PF,588,+1.7,-1.1,+0.6,+9.8,-6.1,+3.6,+3.6,-2.1,+1.4,1.3
76,Khris Middleton,Bucks,SF,384,+2.5,+1.5,+4.0,+1.5,+1.0,+2.5,+2.3,+1.4,+3.7,1.3
77,Duncan Robinson,Heat,SF,506,+2.0,+0.3,+2.3,+1.6,-0.5,+1.1,+2.0,+0.1,+2.1,1.3
78,Brandon Ingram,Pelicans,"SG, SF",582,+2.9,-0.9,+2.0,-0.5,-1.0,-1.5,+2.3,-0.9,+1.4,1.3
79,Moritz Wagner,Wizards,"PF, C",329,+0.3,+3.1,+3.4,+0.8,+6.6,+7.4,+0.3,+4.2,+4.6,1.2
80,Paul George,Clippers,"SG, SF",324,+4.1,+0.6,+4.7,+1.1,+2.2,+3.3,+3.7,+0.9,+4.6,1.2
81,Langston Galloway,Pistons,"PG, SG",575,+3.2,-1.5,+1.7,+1.8,-2.3,-0.5,+3.1,-1.7,+1.4,1.2
82,Jeremy Lamb,Pacers,SG,362,+1.6,+2.4,+4.0,+3.2,-1.9,+1.4,+2.1,+1.6,+3.6,1.2
83,Wesley Matthews,Bucks,"SG, SF",513,-1.6,+1.8,+0.2,+3.2,+4.2,+7.3,-0.7,+2.3,+1.7,1.2
84,Hassan Whiteside,Trail Blazers,C,495,-0.2,+3.0,+2.8,+0.4,-2.6,-2.2,-0.1,+2.0,+1.9,1.2
85,JaVale McGee,Lakers,C,351,-1.0,+5.9,+4.9,+1.0,-2.7,-1.7,-0.7,+4.4,+3.7,1.2
86,Jalen Brunson,Mavericks,PG,320,+1.1,+2.6,+3.7,+1.2,+4.5,+5.7,+1.1,+3.1,+4.2,1.1
87,Nikola Vucevic,Magic,C,431,-0.2,+1.9,+1.7,+4.9,-0.2,+4.7,+0.9,+1.5,+2.4,1.1
88,Andrew Wiggins,Timberwolves,SF,559,+2.4,-2.8,-0.4,+6.8,+0.4,+7.2,+3.5,-2.3,+1.2,1.1
89,Luke Kennard,Pistons,SG,697,+3.5,-2.7,+0.8,+1.2,-2.5,-1.4,+3.2,-2.8,+0.4,1.1
90,Gary Harris,Nuggets,SG,582,-2.4,+2.7,+0.3,-0.7,+3.7,+3.0,-2.2,+3.0,+0.9,1.1
91,Dennis Schroder,Thunder,PG,547,-1.9,+0.4,-1.5,-2.0,+13.3,+11.3,-2.0,+3.1,+1.1,1.1
92,Chris Boucher,Raptors,"PF, C",218,+3.8,+3.6,+7.4,+0.4,+2.7,+3.1,+3.2,+3.5,+6.8,1.1
93,Lou Williams,Clippers,"PG, SG",689,+5.0,-3.3,+1.7,-0.5,-5.1,-5.6,+4.1,-3.9,+0.2,1.1
94,Ryan Arcidiacono,Bulls,PG,352,-0.3,+2.7,+2.4,-1.1,+6.0,+4.9,-0.4,+3.6,+3.1,1.1
95,Rodney Hood,Trail Blazers,"SG, SF",576,+1.1,-1.0,+0.1,+3.3,-0.1,+3.2,+1.6,-0.8,+0.8,1.0
96,Derrick Rose,Pistons,"PG, SG",372,+4.2,-3.2,+1.0,+7.4,+1.1,+8.5,+5.1,-2.5,+2.6,1.0
97,Gorgui Dieng,Timberwolves,"PF, C",190,-1.2,+10.4,+9.3,-5.1,+4.2,-0.9,-2.0,+9.8,+7.7,1.0
98,Rondae Hollis-Jefferson,Raptors,"SF, PF",286,+3.6,-0.1,+3.5,+0.5,+4.8,+5.3,+3.1,+0.9,+4.0,1.0
99,Markelle Fultz,Magic,"PG, SG",510,-0.3,-0.4,-0.7,+5.7,+1.9,+7.6,+1.0,-0.0,+1.0,1.0
100,Kevin Love,Cavaliers,"PF, C",527,+1.1,-0.2,+0.8,-2.2,+2.0,-0.2,+0.5,+0.3,+0.8,1.0
101,Mikal Bridges,Suns,"SF, PF",386,-0.0,+2.4,+2.4,-2.3,+2.9,+0.6,-0.5,+2.7,+2.2,1.0
102,Alex Caruso,Lakers,"PG, SG",379,-2.9,+4.3,+1.4,-1.3,+6.7,+5.5,-2.7,+5.0,+2.3,1.0
103,Kendrick Nunn,Heat,"PG, SG",591,-0.6,+1.2,+0.6,-3.2,+3.4,+0.2,-1.2,+1.6,+0.4,1.0
104,Kelly Olynyk,Heat,"PF, C",468,+0.1,+1.1,+1.2,+0.2,+1.8,+2.0,+0.1,+1.2,+1.2,1.0
105,Cody Martin,Hornets,SG,189,-2.1,+8.9,+6.7,-1.8,+6.8,+5.0,-2.2,+9.1,+7.0,0.9
106,James Ennis III,76ers,SF,361,+2.2,-0.1,+2.1,+4.9,-2.1,+2.7,+2.9,-0.6,+2.3,0.9
107,Dwight Howard,Lakers,C,417,+0.2,+1.4,+1.7,+4.1,-2.8,+1.2,+1.0,+0.5,+1.6,0.9
108,Robert Covington,Timberwolves,"SF, PF",492,-0.3,+1.4,+1.1,+3.9,-4.8,-1.0,+0.6,+0.2,+0.8,0.9
109,Nikola Jokic,Nuggets,C,561,+0.5,+0.2,+0.7,+1.5,-1.9,-0.5,+0.7,-0.4,+0.4,0.9
110,Brad Wanamaker,Celtics,"PG, SG",330,+1.9,+1.2,+3.1,-3.3,+3.1,-0.3,+0.9,+1.6,+2.5,0.9
111,Marquese Chriss,Warriors,"PF, C",382,-2.1,+4.1,+2.0,+0.6,-1.9,-1.3,-1.6,+3.3,+1.6,0.9
112,Sterling Brown,Bucks,"SG, SF",255,+0.9,+1.8,+2.7,+1.3,+6.6,+7.9,+1.0,+2.9,+3.8,0.9
113,Dario Saric,Suns,PF,533,-1.4,+1.1,-0.4,+4.0,-0.6,+3.4,-0.4,+0.8,+0.4,0.9
114,Enes Kanter,Celtics,C,197,+3.9,+1.8,+5.6,+4.1,-0.0,+4.0,+4.1,+1.4,+5.6,0.8
115,Mike Conley,Jazz,PG,628,-0.7,+0.2,-0.4,+2.7,-1.9,+0.8,+0.0,-0.2,-0.2,0.8
116,Nemanja Bjelica,Kings,"SF, PF",499,+2.1,-0.3,+1.9,-1.0,-4.9,-5.9,+1.6,-1.3,+0.4,0.8
117,Marc Gasol,Raptors,C,573,-3.0,+1.6,-1.3,+2.8,+2.8,+5.6,-2.0,+1.9,-0.1,0.8
118,Ersan Ilyasova,Bucks,PF,305,+2.1,+2.1,+4.2,-1.4,-4.4,-5.8,+1.4,+0.8,+2.2,0.8
119,Kyrie Irving,Nets,PG,372,+6.7,-4.4,+2.3,+0.6,-4.3,-3.7,+5.9,-4.6,+1.2,0.8
120,JJ Redick,Pelicans,SG,573,+1.9,-2.2,-0.3,+0.3,-0.3,+0.0,+1.6,-1.9,-0.2,0.7
121,Ivica Zubac,Clippers,C,353,+0.3,+1.6,+1.9,-4.3,+3.3,-1.0,-0.7,+2.0,+1.3,0.7
122,Nerlens Noel,Thunder,C,335,-0.7,+4.4,+3.6,-5.3,-2.7,-8.0,-1.7,+3.2,+1.5,0.7
123,Buddy Hield,Kings,SG,641,+0.1,-1.3,-1.2,+4.3,-2.6,+1.7,+1.0,-1.6,-0.6,0.7
124,Ben McLemore,Rockets,SG,423,+0.6,-2.6,-2.1,+11.4,-0.5,+10.9,+2.8,-2.4,+0.4,0.7
125,Patrick Patterson,Clippers,"SF, PF, C",285,+0.0,+1.9,+1.9,+1.5,+0.3,+1.8,+0.3,+1.6,+1.9,0.7
126,Maxi Kleber,Mavericks,PF,476,-0.6,+1.1,+0.4,-6.6,+5.1,-1.5,-2.0,+2.0,+0.0,0.7
127,Daniel Theis,Celtics,C,346,-3.6,+4.1,+0.6,-2.5,+5.8,+3.2,-3.6,+4.6,+1.0,0.7
128,Solomon Hill,Grizzlies,SF,339,+0.8,-1.1,-0.2,+3.7,+2.0,+5.6,+1.5,-0.4,+1.1,0.7
129,Devin Booker,Suns,"PG, SG",676,+2.3,-3.3,-1.0,+6.5,-6.3,+0.2,+3.2,-4.1,-0.9,0.7
130,Dwight Powell,Mavericks,"PF, C",436,-1.5,+0.3,-1.3,+7.5,-1.2,+6.2,+0.2,-0.0,+0.2,0.7
131,Gordon Hayward,Celtics,SF,249,+2.2,-1.6,+0.6,+3.4,+5.7,+9.1,+2.5,-0.2,+2.3,0.6
132,DeAndre' Bembry,Hawks,"SG, SF",546,-1.0,+1.2,+0.1,-7.8,+4.8,-2.9,-2.5,+2.1,-0.5,0.6
133,Mitchell Robinson,Knicks,C,348,+1.2,+0.4,+1.6,-2.0,-1.0,-3.0,+0.7,+0.2,+0.9,0.6
134,Matisse Thybulle,76ers,SF,312,-2.2,+5.6,+3.4,-8.7,+1.2,-7.5,-3.7,+4.9,+1.2,0.6
135,Justise Winslow,Heat,"PG, SG, SF",305,-1.7,+1.2,-0.5,+1.7,+6.8,+8.5,-1.1,+2.4,+1.3,0.6
136,Jonas Valanciunas,Grizzlies,C,444,-0.7,+0.9,+0.2,-1.8,+0.3,-1.4,-0.9,+0.9,+0.0,0.6
137,Zach LaVine,Bulls,"PG, SG",677,+0.5,+0.3,+0.8,+1.4,-9.6,-8.2,+0.8,-1.8,-0.9,0.6
138,Goran Dragic,Heat,PG,517,+3.4,-2.2,+1.2,+0.9,-7.9,-7.0,+3.1,-3.5,-0.4,0.6
139,Jordan Clarkson,Cavaliers,SG,448,+3.6,-3.0,+0.6,-3.1,+0.1,-3.0,+2.4,-2.5,-0.1,0.6
140,Taurean Prince,Nets,"SF, PF",605,-1.7,+0.2,-1.5,+4.6,-2.3,+2.3,-0.5,-0.3,-0.8,0.6
141,Josh Hart,Pelicans,SG,393,+0.5,-0.3,+0.2,-4.9,+4.7,-0.1,-0.6,+0.8,+0.2,0.6
142,Hamidou Diallo,Thunder,SG,256,-2.2,+2.9,+0.7,-1.2,+6.5,+5.2,-2.1,+3.8,+1.7,0.6
143,Tony Bradley,Jazz,"PF, C",150,+1.1,+5.6,+6.7,-3.8,+0.7,-3.2,+0.2,+4.7,+4.9,0.6
144,Garrett Temple,Nets,"SG, SF",538,+0.4,-0.8,-0.4,-3.4,+2.1,-1.3,-0.4,-0.2,-0.7,0.6
145,Rudy Gay,Spurs,PF,511,+0.1,-1.2,-1.1,-0.8,+2.4,+1.6,-0.1,-0.4,-0.6,0.6
146,JaMychal Green,Clippers,PF,464,-0.8,-0.2,-1.0,+0.9,+2.1,+3.0,-0.5,+0.2,-0.3,0.6
147,Michael Carter-Williams,Magic,PG,162,-1.3,+5.4,+4.1,+0.1,+2.8,+2.9,-1.0,+5.1,+4.1,0.6
148,Wendell Carter Jr.,Bulls,C,616,-2.0,-1.0,-3.0,+5.6,+1.9,+7.5,-0.5,-0.5,-0.9,0.6
149,John Collins,Hawks,PF,161,+2.7,+0.6,+3.3,-5.4,+11.0,+5.5,+1.2,+2.8,+4.0,0.6
150,Isaac Bonga,Wizards,"PG, SG, SF",216,-0.5,+1.2,+0.7,+0.0,+7.4,+7.4,-0.4,+2.7,+2.3,0.6
151,Mason Plumlee,Nuggets,"PF, C",297,-1.6,+3.4,+1.8,-4.3,+1.7,-2.6,-2.3,+3.1,+0.8,0.5
152,Josh Okogie,Timberwolves,SG,410,-2.1,+1.7,-0.4,-5.2,+6.1,+0.9,-2.8,+2.7,-0.1,0.5
153,Kris Dunn,Bulls,"PG, SG",440,-1.9,+2.7,+0.8,-6.7,+1.6,-5.2,-3.0,+2.6,-0.3,0.5
