Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP,>8ft%,8-16ft%,16-24ft%,24+%,BCS%,>8FTU,8-16FTU,16-24FTU,24+U,BCU,AVGDISTA,AVGDISTM,AVGDISTF,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
JR Smith,SG,33,CLE,11,4,222,6,17.7,0.342,2.7,8.7,0.308,3.4,8.9,0.375,1.8,2.2,0.8,0,4,4,4.7,2.5,0.7,2.5,4.3,16.6,91,116,7.8,0.444,0.494,0.127,0,9.4,4.5,13.8,2.5,1.2,11.7,18.6,-0.3,0.1,-0.2,-0.038,-3.5,-1.7,-5.2,-0.2,11,0.55,1.27,1,0.45,1.82,1.18,1.91,1.82,0.937,0.5,0.357,0.364,0.308,0,5.06,17.72,27.85,49.37,0,19.89,18.74,20.48,66.67,96.2,3.8,0,0,0.329,0.667,0,40.54,48.65,10.81,43.04,32.91,13.92,3.8,0,6.33,0,0.265,0.308,0.545,0.333,0,0.6,0
Juancho Hernangomez,PF,23,DEN,70,25,1358,5,11.4,0.439,2.4,6.5,0.365,2.6,4.8,0.541,2.4,3.1,0.767,2.3,7.3,9.6,2,1,0.9,1.3,3.4,14.8,118,110,11,0.58,0.576,0.274,5.1,16.1,10.6,5.3,1,1.6,9.5,12.2,1.6,1.4,3,0.105,-0.9,0,-0.9,0.4,70,0.66,1.91,0.74,1.21,1.54,1.13,1.67,1.49,1.304,0.55,0.333,0.667,0.365,0,38.34,1.92,1.92,57.83,0,15.3,12.94,17.17,84.78,66.13,26.84,4.79,2.24,0.372,0.56,0.8,35.29,48.53,16.18,39.62,2.88,7.03,32.27,9.9,8.31,0,0.387,0.556,0.182,0.624,0.258,0.385,0
Jusuf Nurkic,C,24,POR,72,72,1974,10.3,20.3,0.508,0.1,0.7,0.103,10.2,19.6,0.523,6.9,9,0.773,6,12.4,18.4,5.7,1.7,2.5,4.1,6.1,27.6,116,105,23.4,0.57,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,4.4,3.3,7.8,0.189,1.6,3.6,5.1,3.5,72,0.61,10.33,1.89,3.61,4.74,4.01,4.28,2.47,1.362,0.551,0.37,0.436,0.103,0,78.21,8.84,9.44,3.51,0,5.22,3.85,6.63,65.95,49.76,32.45,9.69,8.11,0.436,0.552,0.85,74.13,0.8,25.07,3.27,12.95,20.1,63.44,0.12,0.12,0,0.111,0.421,0.386,0.588,0,0,0
Kelly Oubre Jr.,SF,23,TOT,69,19,1935,9.2,20.7,0.445,2.7,8.3,0.32,6.6,12.4,0.53,4.6,6,0.775,1.7,6.2,8,2.1,2.1,1.5,2.5,4.5,25.8,105,113,15.2,0.551,0.401,0.29,4,14.6,9.2,6.8,2.1,2.5,9.8,23.2,0.9,1.3,2.2,0.054,-0.9,-1.2,-2.2,-0.1,69,2.83,6.99,2.9,1.91,2.88,4.28,3.26,4.55,1.243,0.548,0.429,0.517,0.318,0.5,48.1,8.31,3.44,39.9,0.24,12.58,9.71,14.88,64.8,61.88,26.6,8.67,2.85,0.369,0.478,0.863,51,30.95,18.05,30.52,6.65,16.03,37.17,5.7,3.8,0.12,0.323,0.464,0.393,0.601,0.354,0.25,0
Larry Nance Jr.,C,26,CLE,67,30,1795,6.9,13.3,0.52,0.9,2.7,0.337,6,10.5,0.567,2.7,3.7,0.716,4.6,10.6,15.3,5.9,2.8,1.1,2.7,5.3,17.3,120,112,18.6,0.583,0.205,0.28,10,24.9,17.1,17.8,2.8,1.9,15.3,15.5,3.3,1.6,4.9,0.131,1.4,2.6,4,2.7,67,0.84,5.88,1.54,1.91,2.25,1.99,2.58,2.54,1.309,0.649,0.339,0.3,0.34,0,59.5,11.69,8.35,20.25,0.21,8.99,5.9,12.34,69.08,50.31,23.38,16.49,9.81,0.34,0.625,0.899,68.9,15.79,15.31,16.49,13.78,15.24,50.52,1.46,2.3,0.21,0.354,0.288,0.356,0.707,0.286,0.273,0
Lonnie Walker IV,SG,20,SAS,17,0,118,6.6,19,0.348,2.1,5.4,0.385,4.6,13.7,0.333,3.3,4.1,0.8,0,7,7,3.7,2.9,1.2,1.7,2.9,18.6,93,107,10.8,0.446,0.283,0.217,0,15.6,7.9,10.3,2.9,2.2,7.4,20.3,-0.1,0.2,0,0.019,-4.7,0.3,-4.4,-0.1,17,0.47,0.94,0.35,0.12,0,0.59,0.12,1.94,0.978,0.467,0.25,0.2,0.385,0,32.61,17.39,21.74,28.26,0,13.93,12,14.97,43.75,69.57,30.43,0,0,0.281,0.5,0,48.89,33.33,17.78,26.09,30.43,10.87,30.43,2.17,0,0,0.333,0.214,0.2,0.5,1,0,0
Luka Doncic,SG,19,DAL,72,72,2318,10.6,24.8,0.427,3.5,10.8,0.327,7.1,14.1,0.503,7.2,10.1,0.713,1.8,10,11.8,9,1.6,0.5,5.2,2.9,31.9,107,109,19.6,0.545,0.433,0.409,4,21.9,13,31.6,1.6,0.9,15,30.5,2.1,2.8,4.9,0.101,2.9,1.2,4.1,3.6,71,2.93,7.92,3.03,2.01,5.93,4.77,5.56,4.7,1.284,0.554,0.389,0.388,0.342,0.063,37.1,15.42,4.2,41.9,1.37,14.98,11.97,17.22,27.16,75.49,20.57,2.23,1.71,0.373,0.558,0.962,43.93,33.64,22.43,39.16,11.14,20.31,25.28,1.11,1.71,1.29,0.328,0.369,0.422,0.614,0.538,0.5,0.067
Marvin Bagley III,PF,19,SAC,62,4,1567,10.6,21,0.504,0.9,2.9,0.313,9.7,18.1,0.534,5.4,7.8,0.691,4.8,9.2,14,1.8,1,1.8,2.9,3.6,27.4,111,110,18.9,0.562,0.136,0.371,10.4,20.8,15.5,5.9,1,3.2,10.7,24.2,2,1.6,3.6,0.11,-1.2,-0.7,-1.8,0.1,61,1.82,9.08,2.39,3.46,3.95,3.36,3.66,3.93,1.3,0.592,0.384,0.419,0.316,0,60.37,19.74,6.15,13.59,0.14,8.24,6.19,10.32,54.7,56.94,25.89,10.3,6.87,0.412,0.486,0.958,70.63,9.9,19.47,10.59,16.88,28.76,40.63,1.72,1.29,0.14,0.351,0.373,0.448,0.658,0.25,0.111,0
Melvin Frazier Jr.,SG,22,ORL,10,0,44,7.8,23.4,0.333,0,6.7,0,7.8,16.7,0.467,1.1,4.4,0.25,3.3,2.2,5.6,1.1,1.1,0,1.1,6.7,16.7,75,113,1.2,0.33,0.286,0.19,7.2,4.9,6.1,3.3,1.1,0,4.2,23.5,-0.2,0,-0.1,-0.133,-8.4,-4.5,-12.9,-0.1,10,0.6,1.2,0.6,0.2,0,0,0,1.5,0.714,0.667,0,0.5,0,0,42.86,19.05,9.52,28.57,0,11.52,4.14,15.21,71.43,57.14,33.33,9.52,0,0.083,0.571,1,93.33,0,6.67,14.29,14.29,23.81,33.33,4.76,9.52,0,0,0.333,0.2,0.714,0,0,0
Milos Teodosic,PG,31,LAC,15,0,150,5.3,12.6,0.425,3.1,8.5,0.37,2.2,4.1,0.538,1.3,2.2,0.571,0.9,4.1,5,10.1,0.9,0.3,6.6,8.5,15.1,94,115,6.5,0.557,0.675,0.175,2.2,8.9,5.7,28.8,0.9,0.5,32.8,18,-0.1,0.1,-0.1,-0.019,-2.9,-3.2,-6.1,-0.2,15,0,0.53,0,0.2,0.2,1.73,0.4,0.87,1.2,0.5,0.5,0.6,0.385,0,15,5,12.5,65,2.5,20.73,19.12,21.91,82.35,87.5,10,0,2.5,0.4,0.5,0,29.17,62.5,8.33,55,12.5,10,10,5,5,2.5,0.364,0.6,0.25,0.75,0.5,0.5,0
Mitchell Creek,SF,26,TOT,5,0,48,7.9,15.9,0.5,0,2,0,7.9,13.9,0.571,5,7,0.714,6,6,11.9,6,2,0,1,3,20.9,129,111,20.2,0.55,0.125,0.438,13.2,13.1,13.2,18.6,2,0,5,17.6,0.1,0,0.2,0.196,1.9,-0.3,1.7,0,5,1.2,3.2,1.2,0.4,0.4,0,0.8,3,1.313,0.615,0,0,0,0,81.25,0,6.25,12.5,0,5.63,2,9.25,62.5,25,68.75,0,6.25,0.25,0.636,0,76.19,0,23.81,6.25,6.25,6.25,75,0,6.25,0,0,0,1,0.583,0,0,0
Nenê Hilário,C,36,HOU,42,2,546,5.4,10.4,0.517,0,0.3,0,5.4,10.2,0.531,2.8,4.2,0.66,3.1,8,11.1,2.3,1.6,1.3,1,7.8,13.6,122,110,11.9,0.552,0.026,0.405,6.7,18.4,12.5,6.8,1.6,2.3,7.4,11.7,0.8,0.6,1.4,0.123,-3,1.1,-2,0,42,0.19,2.19,0.57,0.48,0.86,0.88,0.98,0.86,1.302,0.616,0.278,0.455,0,0,62.93,15.52,18.97,2.59,0,7.3,5.28,9.46,78.33,51.72,37.07,11.21,0,0.4,0.558,0.923,79.47,0,20.53,2.59,27.59,22.41,47.41,0,0,0,0,0.438,0.308,0.691,0,0,0
Nikola Jokić,C,23,DEN,80,80,2504,12.1,23.7,0.511,1.6,5.3,0.307,10.5,18.4,0.569,5.7,6.9,0.821,4.5,12.5,17,11.4,2.1,1.1,4.9,4.5,31.5,119,105,26.3,0.589,0.224,0.292,9.8,27.6,18.7,37,2.1,1.9,15.4,27.4,7.5,4.3,11.8,0.226,5.7,3.8,9.5,7.3,79,0.63,11.75,2.01,3.85,6.37,4.73,5.04,3.75,1.338,0.608,0.504,0.346,0.318,0,59.39,11.59,6.6,22.08,0.34,9.91,7.18,12.78,53.96,63.62,31.22,0.85,4.31,0.439,0.631,1,66.16,15.75,18.09,21.66,12.61,26.23,38.75,0.34,0.08,0.34,0.316,0.396,0.51,0.668,0.25,1,0
Nikola Mirotić,PF,27,TOT,46,25,1245,8.9,20.2,0.439,4.3,11.9,0.365,4.6,8.4,0.545,3.9,4.6,0.847,2.2,10.4,12.7,2.1,1.2,1.3,1.8,4,26,115,109,17.2,0.584,0.587,0.229,5.1,22.6,14,6.2,1.2,2.2,7.4,21.4,2,1.4,3.5,0.133,1.2,-1.2,0,0.6,46,2.04,4.22,2.09,1.89,3.8,3.83,4.02,3.39,1.286,0.638,0.371,0.396,0.367,0,26.01,6.46,8.86,58.3,0.37,17.93,15.21,20.06,82.77,78.23,17.71,0.92,3.14,0.382,0.677,1,35.01,49.93,15.06,48.52,12.92,6.83,21.59,4.06,5.72,0.37,0.361,0.357,0.595,0.641,0.409,0.387,0
Nikola Vučević,C,28,ORL,80,80,2510,13.7,26.4,0.518,1.6,4.5,0.364,12,21.9,0.549,3.5,4.4,0.789,4.4,14.3,18.7,6,1.6,1.7,3.1,3.1,32.5,115,103,25.5,0.573,0.171,0.168,9.4,31.9,20.5,21.9,1.6,3,9.9,28,5.4,4.7,10.1,0.193,3,3.4,6.4,5.3,80,0.59,12.28,2.54,3.28,6.53,4.86,5.95,3.38,1.23,0.621,0.453,0.424,0.365,0,49.85,20.38,12.7,16.99,0.07,10.38,8.43,12.49,70.9,71.64,17.36,3.91,7.09,0.46,0.664,0.887,74.11,15.14,10.75,16.77,21.34,29.76,31.83,0.15,0.07,0.07,0.366,0.436,0.484,0.687,0.5,0,0
Otto Porter,SF,25,TOT,56,43,1683,8.5,18.2,0.465,2.9,7.3,0.406,5.5,11,0.504,2.2,2.7,0.813,1.5,7.4,8.9,3.4,2.3,0.9,1.8,3.1,22.1,111,112,15.9,0.569,0.398,0.149,3.4,17,10.1,10.6,2.3,1.6,8.7,19.1,1.8,1.5,3.2,0.093,0.4,0.1,0.5,1,56,1.89,4.25,1.77,1.32,3.7,3.59,3.79,2.7,1.213,0.637,0.471,0.377,0.406,0,22.71,18.51,18.97,39.81,0,16.14,14.28,17.76,69.9,82.74,14.77,0.93,1.56,0.429,0.611,1,50,40,10,28.3,30.33,12.13,17.73,5.44,6.07,0,0.396,0.39,0.577,0.649,0.457,0.41,0
PJ Tucker,PF,33,HOU,82,82,2802,3.6,9.2,0.396,2.6,6.8,0.377,1.1,2.4,0.449,0.7,1,0.695,2.1,6.3,8.4,1.7,2.3,0.7,1.1,4.4,10.5,114,110,9.2,0.547,0.74,0.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,2,3,5,0.086,-0.5,1.8,1.3,2.3,82,1.04,1.39,1.37,0.8,2.3,1.8,2.06,1.09,1.149,0.456,0.444,0.143,0.381,0,21.8,3.44,1.34,73.23,0.19,18.4,17.47,19,91.3,82.98,14.91,0.57,1.53,0.376,0.462,1,20.3,72.88,6.82,20.27,2.29,7.27,17.02,30.98,21.99,0.19,0.349,0.333,0.342,0.494,0.432,0.339,0
RJ Hunter,SG,25,BOS,1,0,26,11.1,24.1,0.462,7.4,18.5,0.4,3.7,5.6,0.667,1.9,3.7,0.5,1.9,3.7,5.6,5.6,1.9,0,0,5.6,31.5,131,111,21.5,0.612,0.769,0.154,4.1,8.2,6.2,18,1.9,0,0,23,0.1,0,0.1,0.226,7,-3.7,3.4,0,1,2,2,5,0,3,3,0,11,1.308,0.5,1,0,0.4,0,15.38,7.69,0,76.92,0,22.77,20.83,24.43,66.67,84.62,7.69,7.69,0,0.455,0,1,23.53,70.59,5.88,76.92,7.69,0,15.38,0,0,0,0.4,1,0,0.5,0,0,0
Robert Williams III,C,21,BOS,32,2,283,6.1,8.7,0.706,0,0,0,6.1,8.7,0.706,1.5,2.6,0.6,4.6,9.2,13.8,1.2,1.5,6.8,1.7,6.1,13.8,132,100,18.8,0.703,0,0.294,10.2,20.4,15.3,3.3,1.5,12.5,14.8,10.3,0.5,0.6,1.2,0.201,-2.4,6.7,4.4,0.5,31,0.32,2.26,0.71,0.45,0.19,0.48,0.48,1.45,1.588,0.745,0.333,0,0,0,92.16,5.88,1.96,0,0,2.1,1.28,4.07,86.11,7.84,21.57,54.9,15.69,0.25,0.727,0.893,88.89,0,11.11,0,7.84,1.96,90.2,0,0,0,0,0.25,0,0.761,0,0,0
Skal Labissiere,PF,22,TOT,22,1,176,7,13.1,0.531,1.6,3.5,0.462,5.4,9.7,0.556,2.4,4.6,0.529,2.4,9.1,11.5,3,1.3,1.6,3,7.8,18,108,109,12.6,0.593,0.265,0.347,5.4,20.3,12.8,8.6,1.4,2.8,16.3,16,0.1,0.2,0.3,0.089,-2.4,0.6,-1.8,0,22,0.18,1.45,0.32,0.36,0.36,0.36,0.82,1.5,1.367,0.571,0.5,0.5,0.462,0,57.14,8.16,8.16,26.53,0,10.45,9.23,11.83,46.15,59.18,14.29,18.37,8.16,0.448,0.286,0.889,59.7,26.87,13.43,24.49,14.29,16.33,42.86,0,2.04,0,0.5,0.571,0.375,0.619,0,0,0
Sviatoslav Mykhailiuk,SF,21,TOT,42,0,440,4.9,14.8,0.329,3.1,9.4,0.326,1.8,5.4,0.333,1.3,2.1,0.6,1,2.9,3.8,3.9,1.5,0.1,2.2,2.7,14.1,92,113,6,0.447,0.636,0.143,2.2,6.2,4.2,10.9,1.5,0.2,12.4,16,-0.4,0.3,-0.1,-0.012,-3.6,-2.1,-5.7,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taurean Waller-Prince,SF,24,ATL,55,47,1552,7.8,17.7,0.441,3.7,9.4,0.39,4.1,8.3,0.498,2.8,3.5,0.819,0.7,5.3,5.9,3.5,1.6,0.6,3,4.2,22.1,106,115,11.9,0.575,0.53,0.195,1.5,12.3,6.7,11.1,1.6,1.1,13.4,19.5,0.8,0.7,1.5,0.047,-0.4,-1.5,-1.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hardaway Jr.,SG,26,TOT,65,63,2057,9.2,23.3,0.393,3.8,11.2,0.34,5.4,12.1,0.442,5.4,6.5,0.841,0.8,4.4,5.2,3.7,1.3,0.2,2.5,3.3,27.6,105,116,13.6,0.527,0.48,0.278,1.7,9.8,5.7,12.8,1.3,0.3,8.6,25.4,1,0.9,1.8,0.043,0.5,-2.9,-2.4,-0.2,65,2.46,4.43,2.8,1.52,5.17,4.48,5.29,3.02,1.182,0.496,0.397,0.388,0.341,0,24.77,13.7,13.49,47.83,0.2,16.92,15.15,18.07,55.13,79.96,18.03,1.61,0.4,0.36,0.492,0.875,38.84,41.4,19.76,41.79,20.14,13.09,18.73,4.33,1.71,0.2,0.342,0.42,0.315,0.554,0.349,0.294,0
Timothe Luwawu-Cabarrot,SF,23,TOT,50,7,669,5.9,15.7,0.376,2.6,8.3,0.31,3.3,7.3,0.451,2.2,3,0.756,0.8,6.2,7,1.9,1.4,0.6,1.5,5.3,16.6,97,113,8,0.489,0.532,0.188,1.7,14.1,7.8,5.5,1.4,1,8.2,16.6,-0.3,0.5,0.2,0.015,-3.3,-1.7,-5,-0.5,50,0.88,1.6,0.56,0.36,0.98,1.2,0.78,1.66,1.06,0.506,0.167,0.385,0.313,0,35.32,5.5,5.96,52.75,0.46,15.34,12.37,17.14,81.71,66.06,29.82,3.67,0.46,0.299,0.523,0.625,39.83,46.75,13.42,30.73,9.63,5.05,32.11,11.47,10.55,0.46,0.254,0.286,0.091,0.557,0.4,0.391,0
TJ Leaf,PF,21,IND,58,1,522,9.3,17.1,0.541,0.7,2.9,0.258,8.5,14.2,0.599,1.8,2.9,0.613,4,7.7,11.7,2.2,0.8,1.8,1.1,3.3,21.1,119,107,16.9,0.572,0.169,0.169,9.3,17.1,13.3,6.9,0.8,3.2,5.8,17.5,0.9,0.7,1.6,0.148,-1,0,-1,0.1,58,0.67,2.97,0.57,1,0.59,1.72,0.41,1.16,1.229,0.675,0.371,0.333,0.258,0,62.3,19.13,1.64,16.94,0,7.61,4.64,11.12,62.63,50.27,32.79,7.1,9.84,0.37,0.65,1,80.89,10.67,8.44,12.02,8.74,26.78,47.54,2.19,2.73,0,0.273,0.313,0.449,0.736,0.25,0.2,0
Tomas Satoransky,PG,27,WAS,80,54,2164,5.6,11.6,0.485,1.4,3.5,0.395,4.2,8.1,0.524,2.9,3.5,0.819,1.8,4.3,6.1,8.7,1.8,0.3,2.6,3.8,15.5,121,116,14.1,0.59,0.306,0.302,4,10,7,24.6,1.8,0.5,16.7,14.1,3.8,0.9,4.7,0.104,0.4,-1,-0.6,0.8,79,1.08,4.2,1.53,1.05,2.37,2.35,1.95,2.09,1.348,0.618,0.352,0.35,0.408,0,44.81,16.92,7.69,30.19,0.38,11.73,9.42,13.91,60.08,64.04,28.27,4.62,3.08,0.39,0.633,0.875,53.92,27.39,18.69,21.54,13.27,20.19,35.96,4.23,4.42,0.38,0.411,0.333,0.419,0.652,0.636,0.174,0
Troy Brown Jr.,SF,19,WAS,52,10,730,6.3,15.2,0.415,1.4,4.5,0.319,4.9,10.7,0.455,2.1,3,0.681,2.3,7.1,9.4,5.2,1.4,0.3,1.9,3.6,16.1,105,115,11.1,0.487,0.295,0.201,5.1,16.6,10.8,14.9,1.4,0.6,10.5,16.5,0.2,0.4,0.6,0.039,-2.6,-1.2,-3.7,-0.3,51,0.75,2.27,0.94,0.51,1.08,1.04,1.14,1.49,1.08,0.551,0.2,0.429,0.328,0,43.75,13.39,12.5,29.91,0.45,12.67,9.88,14.69,68.09,66.07,27.68,6.25,0,0.338,0.516,0.857,59.5,27.27,13.22,22.32,17.41,21.43,30.8,3.57,4.02,0.45,0.3,0.359,0.271,0.652,0.5,0.333,0
Vincent Edwards,SF,22,HOU,2,0,16,3.1,12.3,0.25,3.1,12.3,0.25,0,0,0,0,0,0,3.1,3.1,6.1,0,0,0,0,0,9.2,95,118,3.8,0.375,1,0,6.8,7.1,6.9,0,0,0,0,10.9,0,0,0,-0.014,-4.3,-5.5,-9.8,0,2,0,0,0,1.5,0,0,0,1.5,0.75,0,0,0,0.25,0,0,0,0,100,0,23.75,23,24,100,100,0,0,0,0.25,0,0,0,100,0,25,0,0,0,25,50,0,0,0,0,0,0,0.5,0
Wade Baldwin IV,PG,22,POR,16,0,94,5.2,17,0.303,1,4.6,0.222,4.1,12.4,0.333,4.1,5.7,0.727,1,6.7,7.7,6.2,0.5,1,7.2,5.7,15.5,74,113,1.3,0.396,0.273,0.333,2.3,14.4,8.5,16.6,0.5,1.7,27,23.3,-0.4,0.1,-0.3,-0.153,-9.3,-1.4,-10.7,-0.2,16,0.13,0.75,0,0,0,0,0,1.88,0.909,0.313,0.333,0.333,0.25,0,48.48,9.09,18.18,24.24,0,11.64,10.6,12.09,10,57.58,42.42,0,0,0.316,0.286,0,53.33,20,26.67,21.21,21.21,18.18,36.36,0,3.03,0,0.143,0.286,0.167,0.417,0,1,0
Walter Lemon Jr.,PG,26,CHI,6,3,167,11,25.3,0.437,0.6,1.5,0.4,10.5,23.8,0.439,2.3,3.2,0.727,1.2,6.7,7.8,8.7,3.2,0.3,2.9,4.1,25,98,110,16.3,0.468,0.057,0.126,2.6,15.1,8.8,30.3,3.2,0.5,9.8,26.6,-0.1,0.2,0.1,0.026,-1.5,0.1,-1.4,0,6,1.33,10,2,1.17,1.67,5.17,3.17,4.33,0.989,0.458,0.556,0.286,0.4,0,67.82,10.34,16.09,5.75,0,6.59,5.42,7.49,26.32,35.63,63.22,1.15,0,0.355,0.473,1,83.72,6.98,9.3,5.75,20.69,13.79,59.77,0,0,0,0.4,0.333,0.333,0.5,0,0,0
Wendell Carter Jr.,C,19,CHI,44,44,1110,7.9,16.2,0.485,0.3,1.4,0.188,7.6,14.8,0.513,3.9,4.9,0.795,3.8,9.6,13.4,3.4,1.1,2.5,2.8,6.6,19.9,107,110,15.2,0.541,0.086,0.302,8.4,21.8,15,10.7,1.1,4.5,13.4,19.1,0.7,1.2,1.9,0.08,-2.4,1.8,-0.5,0.4,44,0.66,6.45,1.48,1.66,3.57,1.95,3.39,1.39,1.226,0.596,0.391,0.359,0.188,0,56.06,24.8,10.51,8.63,0,7.95,5.47,10.29,78.33,57.68,26.95,11.86,3.5,0.355,0.56,0.955,76.48,3.96,19.56,4.85,24.53,22.91,43.94,1.08,2.7,0,0.222,0.352,0.4,0.663,0,0.2,0
Wesley Iwundu,SF,24,ORL,68,13,1233,4.5,10.9,0.412,1.2,3.1,0.367,3.3,7.7,0.431,3.3,4.1,0.816,1.5,5.8,7.3,2.9,1.1,0.9,1.7,4.9,13.5,107,110,8.7,0.531,0.288,0.376,3.2,13,8,7.9,1.1,1.5,12.1,12.8,0.5,1.4,1.9,0.073,-3.4,0.7,-2.7,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Hernangomez,C,24,CHO,58,3,812,9.2,17.7,0.519,0.9,2.3,0.385,8.3,15.3,0.539,6,8.6,0.694,7,11.6,18.6,3.6,1,1.2,3.5,5.9,25.2,118,111,20.4,0.587,0.132,0.488,15.3,26.3,20.7,11.5,1,2.1,13.9,22.1,1.8,0.8,2.6,0.153,0.2,-0.4,-0.2,0.4,58,0.43,4.59,0.66,2.12,2.02,1.5,2.09,1.6,1.422,0.548,0.545,0,0.385,0,77.7,7.43,1.69,13.18,0,5.84,4.58,7.2,69.28,37.16,40.54,9.12,13.18,0.436,0.533,0.889,65.56,10.69,23.75,11.49,4.73,19.59,62.5,1.35,0.34,0,0.382,0.357,0.448,0.578,0.5,0,0
